Time,num_recovered
0,0
0.25,0
0.5,2
0.75,2
1,3
1.25,4
1.5,7
1.75,8
2,11
2.25,13
2.5,14
2.75,18
3,22
3.25,23
3.5,26
3.75,31
4,38
4.25,44
4.5,50
4.75,53
5,59
5.25,62
5.5,73
5.75,80
6,81
6.25,85
6.5,86
6.75,93
7,103
7.25,114
7.5,127
7.75,132
8,141
8.25,146
8.5,156
8.75,166
9,174
9.25,185
9.5,205
9.75,222
10,234
10.25,254
10.5,266
10.75,295
11,308
11.25,325
11.5,344
11.75,370
12,385
12.25,412
12.5,435
12.75,465
13,489
13.25,519
13.5,529
13.75,556
14,592
14.25,625
14.5,662
14.75,695
15,746
15.25,787
15.5,838
15.75,886
16,943
16.25,992
16.5,1046
16.75,1100
17,1171
17.25,1250
17.5,1319
17.75,1386
18,1449
18.25,1511
18.5,1579
18.75,1656
19,1740
19.25,1851
19.5,1936
19.75,2027
20,2130
20.25,2248
20.5,2350
20.75,2477
21,2603
21.25,2720
21.5,2875
21.75,3036
22,3172
22.25,3313
22.5,3467
22.75,3620
23,3776
23.25,3940
23.5,4154
23.75,4343
24,4534
24.25,4753
24.5,5012
24.75,5252
25,5486
25.25,5758
25.5,6025
25.75,6289
26,6567
26.25,6844
26.5,7170
26.75,7486
27,7802
27.25,8153
27.5,8486
27.75,8893
28,9285
28.25,9694
28.5,10128
28.75,10558
29,10995
29.25,11463
29.5,11899
29.75,12387
30,12882
30.25,13424
30.5,13962
30.75,14548
31,15097
31.25,15665
31.5,16300
31.75,16934
32,17606
32.25,18228
32.5,18933
32.75,19641
33,20338
33.25,21052
33.5,21776
33.75,22540
34,23319
34.25,24077
34.5,24882
34.75,25687
35,26489
35.25,27297
35.5,28123
35.75,28984
36,29868
36.25,30747
36.5,31635
36.75,32581
37,33511
37.25,34423
37.5,35361
37.75,36339
38,37308
38.25,38227
38.5,39222
38.75,40245
39,41252
39.25,42191
39.5,43206
39.75,44212
40,45167
40.25,46147
40.5,47174
40.75,48176
41,49169
41.25,50206
41.5,51171
41.75,52180
42,53199
42.25,54150
42.5,55150
42.75,56095
43,57046
43.25,57998
43.5,59012
43.75,59912
44,60851
44.25,61727
44.5,62605
44.75,63500
45,64362
45.25,65209
45.5,66011
45.75,66859
46,67651
46.25,68491
46.5,69266
46.75,69978
47,70746
47.25,71485
47.5,72187
47.75,72879
48,73621
48.25,74296
48.5,74972
48.75,75597
49,76239
49.25,76890
49.5,77471
49.75,78073
50,78635
50.25,79197
50.5,79726
50.75,80249
51,80792
51.25,81259
51.5,81789
51.75,82288
52,82764
52.25,83253
52.5,83688
52.75,84097
53,84519
53.25,84902
53.5,85293
53.75,85687
54,86058
54.25,86430
54.5,86750
54.75,87081
55,87432
55.25,87755
55.5,88028
55.75,88329
56,88621
56.25,88903
56.5,89189
56.75,89462
57,89717
57.25,89991
57.5,90238
57.75,90467
58,90696
58.25,90898
58.5,91115
58.75,91338
59,91540
59.25,91754
59.5,91942
59.75,92130
60,92308
60.25,92458
60.5,92625
60.75,92791
61,92938
61.25,93076
61.5,93206
61.75,93333
62,93477
62.25,93590
62.5,93706
62.75,93816
63,93928
63.25,94053
63.5,94166
63.75,94263
64,94341
64.25,94421
64.5,94516
64.75,94606
65,94700
65.25,94779
65.5,94850
65.75,94946
66,95021
66.25,95077
66.5,95144
66.75,95198
67,95249
67.25,95314
67.5,95372
67.75,95422
68,95482
68.25,95522
68.5,95581
68.75,95627
69,95676
69.25,95721
69.5,95772
69.75,95824
70,95875
70.25,95922
70.5,95963
70.75,95995
71,96020
71.25,96062
71.5,96097
71.75,96131
72,96157
72.25,96179
72.5,96202
72.75,96226
73,96253
73.25,96281
73.5,96303
73.75,96324
74,96341
74.25,96354
74.5,96371
74.75,96394
75,96407
75.25,96429
75.5,96447
75.75,96459
76,96477
76.25,96488
76.5,96499
76.75,96513
77,96528
77.25,96541
77.5,96559
77.75,96581
78,96592
78.25,96603
78.5,96615
78.75,96621
79,96634
79.25,96647
79.5,96655
79.75,96671
80,96682
80.25,96693
80.5,96700
80.75,96708
81,96716
81.25,96720
81.5,96725
81.75,96732
82,96745
82.25,96752
82.5,96754
