Time,susceptible_lambda_W
95.25,0.0193064
95.5,0.0193064
95.75,0.0141515
96,0.0141515
96.25,0.0141515
96.5,0.0141515
96.75,0.0141515
97,0.0141515
97.25,0.0141515
97.5,0.0141515
97.75,0.0141515
98,0.0141515
98.25,0.00280521
98.5,0.000125233
98.75,0.000125233
99,0.000125233
99.25,0.000125233
99.5,0.000125233
99.75,0.000125233
100,0.000125233
100.25,0.000125233
100.5,0.000125233
100.75,0.000125233
101,0.000125233
101.25,0.000125233
101.5,0.000125233
101.75,0.000125233
102,0.000125233
102.25,0.000125233
102.5,0.000125233
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
