Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.999996
1,0.635698
1.25,0.499767
1.5,0.39957
1.75,0.454387
2,0.321329
2.25,0.294037
2.5,0.399718
2.75,0.380825
3,0.398801
3.25,0.333272
3.5,0.415991
3.75,0.498441
4,0.42083
4.25,0.366464
4.5,0.249921
4.75,0.149903
5,0.26296
5.25,0.363427
5.5,0.279854
5.75,0.433736
6,0.333032
6.25,0.374833
6.5,0.358274
6.75,0.374602
7,0.374488
7.25,0.191199
7.5,0.287857
7.75,0.127804
8,0.121142
8.25,0.0979012
8.5,0.204136
8.75,0.227337
9,0.19139
9.25,0.320776
9.5,0.286244
9.75,0.445917
10,0.327284
10.25,0.328566
10.5,0.272881
10.75,0.268744
11,0.283021
11.25,0.209545
11.5,0.217237
11.75,0.140859
12,0.279632
12.25,0.381045
12.5,0.307917
12.75,0.354965
13,0.318438
13.25,0.345277
13.5,0.317224
13.75,0.426316
14,0.258566
14.25,0.344111
14.5,0.22023
14.75,0.254812
15,0.352511
15.25,0.309177
15.5,0.386009
15.75,0.28603
16,0.307226
16.25,0.309762
16.5,0.269035
16.75,0.308672
17,0.276255
17.25,0.262403
17.5,0.29859
17.75,0.321503
18,0.313375
18.25,0.285929
18.5,0.323537
18.75,0.305121
19,0.336975
19.25,0.364527
19.5,0.345667
19.75,0.284225
20,0.313916
20.25,0.311341
20.5,0.294132
20.75,0.289475
21,0.287866
21.25,0.316605
21.5,0.297855
21.75,0.29651
22,0.257287
22.25,0.277618
22.5,0.285392
22.75,0.272912
23,0.293878
23.25,0.326033
23.5,0.273984
23.75,0.30761
24,0.280059
24.25,0.311141
24.5,0.313823
24.75,0.282801
25,0.302669
25.25,0.3039
25.5,0.308044
25.75,0.30826
26,0.303061
26.25,0.325211
26.5,0.329492
26.75,0.304907
27,0.314375
27.25,0.325193
27.5,0.294199
27.75,0.283682
28,0.314768
28.25,0.310698
28.5,0.308946
28.75,0.293053
29,0.285125
29.25,0.302523
29.5,0.302853
29.75,0.3209
30,0.315624
30.25,0.307862
30.5,0.330617
30.75,0.334204
31,0.324897
31.25,0.304961
31.5,0.315787
31.75,0.327455
32,0.359672
32.25,0.317547
32.5,0.319043
32.75,0.304766
33,0.339634
33.25,0.33302
33.5,0.313889
33.75,0.329724
34,0.324879
34.25,0.330339
34.5,0.318649
34.75,0.328103
35,0.324609
35.25,0.338066
35.5,0.325945
35.75,0.352292
36,0.324348
36.25,0.320688
36.5,0.32528
36.75,0.314501
37,0.317303
37.25,0.344288
37.5,0.333192
37.75,0.311444
38,0.327902
38.25,0.324601
38.5,0.324477
38.75,0.341117
39,0.340296
39.25,0.348965
39.5,0.361625
39.75,0.347983
40,0.346256
40.25,0.350965
40.5,0.386516
40.75,0.393308
41,0.343596
41.25,0.358829
41.5,0.345879
41.75,0.339558
42,0.338786
42.25,0.343495
42.5,0.324389
42.75,0.322077
43,0.362973
43.25,0.370033
43.5,0.395347
43.75,0.412606
44,0.392053
44.25,0.373824
44.5,0.369773
44.75,0.359985
45,0.340173
45.25,0.347324
45.5,0.315422
45.75,0.351147
46,0.370361
46.25,0.366281
46.5,0.338549
46.75,0.357616
47,0.394951
47.25,0.360701
47.5,0.389819
47.75,0.360618
48,0.301754
48.25,0.396717
48.5,0.42103
48.75,0.367599
49,0.353243
49.25,0.376291
49.5,0.325029
49.75,0.295415
50,0.347502
50.25,0.314817
50.5,0.315901
50.75,0.444185
51,0.421664
51.25,0.326839
51.5,0.335604
51.75,0.233985
52,0.347615
52.25,0.380792
52.5,0.386998
52.75,0.291252
53,0.39798
53.25,0.306056
53.5,0.435036
53.75,0.336669
54,0.502855
54.25,0.423839
54.5,0.324725
54.75,0.444558
55,0.325946
55.25,0.397128
55.5,0.184295
55.75,0.367343
56,0.433181
56.25,0.369934
56.5,0.526292
56.75,0.419177
57,0.361786
57.25,0.433393
57.5,0.362665
57.75,0.427807
58,0.280024
58.25,0.427823
58.5,0.244313
58.75,0.475132
59,0.338303
59.25,0.588062
59.5,0.660812
59.75,0.273522
60,0.489004
60.25,0.421227
60.5,0.342043
60.75,0.206783
61,0.307234
61.25,0.425064
