Time,cumulative_mean_fraction_lambda_H
93.75,0.322963
94,0.322963
94.25,0.322963
94.5,0.322963
94.75,0.322963
95,0.322963
95.25,0.322963
95.5,0.322963
95.75,0.322963
96,0.322963
96.25,0.322963
96.5,0.322963
96.75,0.322963
97,0.322963
97.25,0.322963
97.5,0.322963
97.75,0.322963
98,0.322963
98.25,0.32296
98.5,0.32296
98.75,0.32296
99,0.32296
99.25,0.32296
99.5,0.32296
99.75,0.32296
100,0.32296
100.25,0.32296
100.5,0.32296
100.75,0.32296
101,0.32296
101.25,0.32296
101.5,0.32296
101.75,0.32296
102,0.32296
102.25,0.32296
102.5,0.32296
102.75,0.32296
103,0.32296
103.25,0.32296
103.5,0.32296
103.75,0.32296
104,0.32296
104.25,0.32296
104.5,0.32296
104.75,0.322957
105,0.322957
105.25,0.322957
105.5,0.322957
105.75,0.322957
106,0.322957
106.25,0.322957
106.5,0.322957
106.75,0.322957
107,0.322957
107.25,0.322957
107.5,0.322957
107.75,0.322957
108,0.322957
108.25,0.322957
108.5,0.322957
108.75,0.322957
109,0.322957
109.25,0.322957
109.5,0.322957
109.75,0.322957
110,0.322957
110.25,0.322957
110.5,0.322957
110.75,0.322957
111,0.322964
111.25,0.322964
111.5,0.322964
111.75,0.322964
112,0.322964
112.25,0.322964
112.5,0.322964
112.75,0.322964
113,0.322964
113.25,0.322964
113.5,0.322964
113.75,0.322964
114,0.322964
114.25,0.322964
114.5,0.322964
114.75,0.322964
115,0.322964
115.25,0.322964
115.5,0.322964
115.75,0.322964
116,0.322964
116.25,0.322964
116.5,0.322964
116.75,0.322964
117,0.322964
117.25,0.322964
117.5,0.322964
117.75,0.32296
118,0.32296
118.25,0.32296
118.5,0.32296
118.75,0.32296
119,0.32296
119.25,0.32296
119.5,0.32296
119.75,0.32296
