Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,0.0982527
1.25,0.259788
1.5,0.0342378
1.75,0.0121096
2,0.0745309
2.25,0.0780783
2.5,0.0322533
2.75,0.0234655
3,0.0130559
3.25,0.11254
3.5,0.0294235
3.75,0.00872167
4,0.0181308
4.25,0.0298294
4.5,0.0550655
4.75,0.969037
5,0.305514
5.25,0.117322
5.5,0.0273775
5.75,0.0654387
6,0.0487223
6.25,0.0106588
6.5,0.0952578
6.75,0.0952092
7,0.0350146
7.25,0.0951352
7.5,0.0455822
7.75,0.415175
8,0.175534
8.25,0.473464
8.5,0.186029
8.75,0.127429
9,0.34165
9.25,0.0825745
9.5,0.124877
9.75,0.0405699
10,0.0584715
10.25,0.0990901
10.5,0.255477
10.75,0.132358
11,0.108716
11.25,0.0587294
11.5,0.118455
11.75,0.237599
12,0.157687
12.25,0.0555718
12.5,0.0669594
12.75,0.0430088
13,0.035244
13.25,0.0452135
13.5,0.0480607
13.75,0.0430715
14,0.0895154
14.25,0.0745224
14.5,0.162283
14.75,0.059076
15,0.0596032
15.25,0.0868977
15.5,0.0278322
15.75,0.0804351
16,0.0793792
16.25,0.115588
16.5,0.053092
16.75,0.0796362
17,0.118163
17.25,0.113943
17.5,0.107323
17.75,0.0629199
18,0.0653816
18.25,0.0776828
18.5,0.0552106
18.75,0.0888157
19,0.0796029
19.25,0.0719299
19.5,0.100901
19.75,0.0979832
20,0.0877949
20.25,0.0954292
20.5,0.130495
20.75,0.0713954
21,0.0725947
21.25,0.0915044
21.5,0.0965714
21.75,0.107288
22,0.111077
22.25,0.116785
22.5,0.0745342
22.75,0.128547
23,0.0880993
23.25,0.0805201
23.5,0.0938002
23.75,0.0911676
24,0.0802373
24.25,0.100335
24.5,0.0892354
24.75,0.104172
25,0.0866605
25.25,0.0961119
25.5,0.0955589
25.75,0.0962546
26,0.110496
26.25,0.0802135
26.5,0.0789426
26.75,0.103711
27,0.0939135
27.25,0.090305
27.5,0.102204
27.75,0.113376
28,0.0951137
28.25,0.0932828
28.5,0.0984526
28.75,0.0978275
29,0.124522
29.25,0.110989
29.5,0.10265
29.75,0.105178
30,0.099647
30.25,0.124388
30.5,0.107785
30.75,0.0933224
31,0.0933576
31.25,0.130719
31.5,0.115681
31.75,0.11797
32,0.0965891
32.25,0.134457
32.5,0.125614
32.75,0.139709
33,0.0988897
33.25,0.115125
33.5,0.122596
33.75,0.116549
34,0.116118
34.25,0.0927599
34.5,0.127059
34.75,0.118887
35,0.123193
35.25,0.115641
35.5,0.104034
35.75,0.118044
36,0.138636
36.25,0.141299
36.5,0.128302
36.75,0.137759
37,0.157991
37.25,0.125086
37.5,0.124568
37.75,0.131744
38,0.13373
38.25,0.140741
38.5,0.126644
38.75,0.144768
39,0.122122
39.25,0.134413
39.5,0.0967101
39.75,0.120049
40,0.131027
40.25,0.112312
40.5,0.0993215
40.75,0.0936775
41,0.120175
41.25,0.118386
41.5,0.110524
41.75,0.128281
42,0.121071
42.25,0.106516
42.5,0.114242
42.75,0.150456
43,0.109024
43.25,0.0970785
43.5,0.0728881
43.75,0.0628305
44,0.0884552
44.25,0.0743914
44.5,0.0904735
44.75,0.0960213
45,0.105955
45.25,0.07448
45.5,0.117284
45.75,0.130603
46,0.0646989
46.25,0.0608183
46.5,0.0697555
46.75,0.103243
47,0.0672589
47.25,0.0707023
47.5,0.0368636
47.75,0.098805
48,0.055865
48.25,0.0557201
48.5,0.0513841
48.75,0.050296
49,0.0470418
49.25,0.0578075
49.5,0.0829859
49.75,0.0689992
50,0.0460841
50.25,0.0413449
50.5,0.0821605
50.75,0.0379046
51,0.00950181
51.25,0.0535037
51.5,0.0357572
51.75,0.0983885
52,0.105944
52.25,0.0170137
52.5,0.0457565
52.75,0.0453038
53,0.010335
53.25,0.0386058
53.5,0.0219151
53.75,0.0205617
54,0.0235547
54.25,0.0433751
54.5,0.0616644
54.75,0.0129759
55,0.13736
55.25,0.015698
55.5,0.0484645
55.75,0.0199619
56,0.0223213
56.25,0.00262145
56.5,0.0105313
56.75,0.00858184
57,0
57.25,0.0363165
57.5,0.00268935
57.75,0.0244006
58,0.0296442
58.25,0.0574438
58.5,0.0202939
58.75,0.00367869
59,0.0123565
59.25,0.00953301
59.5,0.00475724
59.75,0.0411936
60,0.00254059
60.25,0.0202847
60.5,0.0170411
60.75,0.146689
61,0.000558283
61.25,0.0104878
61.5,0.00956908
61.75,0.00210922
62,0
62.25,-nan
62.5,0.0053322
62.75,0.000822089
63,0.00316093
63.25,0.0117863
63.5,0.07843
63.75,0.000863659
64,0.315157
64.25,inf
64.5,0.0723968
64.75,inf
65,-nan
65.25,inf
65.5,-nan
65.75,0.0112127
66,0.00954081
66.25,-nan
66.5,0.00250973
66.75,0.00137548
67,0
67.25,-nan
67.5,0.0171505
67.75,0
68,0
68.25,0.110977
68.5,0
68.75,-nan
69,-nan
69.25,-nan
69.5,-nan
69.75,0
70,0.00360543
70.25,0
70.5,0.000383525
70.75,-nan
71,0
71.25,0.0633531
71.5,0
71.75,-nan
72,0
72.25,0
72.5,inf
72.75,-nan
73,-nan
73.25,-nan
73.5,-nan
73.75,-nan
74,-nan
74.25,-nan
74.5,-nan
74.75,-nan
75,-nan
75.25,-nan
75.5,-nan
75.75,-nan
76,-nan
76.25,-nan
76.5,-nan
76.75,-nan
77,-nan
77.25,-nan
77.5,-nan
77.75,-nan
78,-nan
78.25,-nan
78.5,-nan
78.75,-nan
79,0
79.25,-nan
79.5,-nan
79.75,-nan
80,-nan
80.25,-nan
80.5,-nan
80.75,-nan
81,-nan
81.25,-nan
81.5,-nan
81.75,-nan
82,-nan
82.25,-nan
82.5,-nan
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,-nan
84,-nan
84.25,0
84.5,-nan
84.75,-nan
85,-nan
85.25,-nan
85.5,-nan
85.75,-nan
86,-nan
