Time,cumulative_mean_fraction_lambda_W
82,0.331361
82.25,0.331361
82.5,0.331361
82.75,0.331361
83,0.331361
83.25,0.331361
83.5,0.331361
83.75,0.331361
84,0.331361
84.25,0.331358
84.5,0.331358
84.75,0.331358
85,0.331354
85.25,0.331351
85.5,0.331351
85.75,0.331348
86,0.331348
86.25,0.331344
86.5,0.331344
86.75,0.331344
87,0.331344
87.25,0.331344
87.5,0.331344
87.75,0.331344
88,0.331341
88.25,0.331337
88.5,0.331337
88.75,0.33133
89,0.331327
89.25,0.331327
89.5,0.331327
89.75,0.331324
90,0.33132
90.25,0.33132
90.5,0.33132
90.75,0.33132
91,0.33132
91.25,0.33132
91.5,0.33132
91.75,0.33132
92,0.33132
92.25,0.331317
92.5,0.331317
92.75,0.331317
93,0.331317
93.25,0.331317
93.5,0.331317
93.75,0.331317
94,0.331317
94.25,0.331317
94.5,0.331317
94.75,0.331317
95,0.331317
95.25,0.331317
95.5,0.331317
95.75,0.331317
96,0.331317
96.25,0.331317
96.5,0.331317
96.75,0.331317
97,0.331317
97.25,0.331317
97.5,0.331317
97.75,0.331317
98,0.331317
98.25,0.331324
98.5,0.331324
98.75,0.331324
99,0.331324
99.25,0.331324
99.5,0.331324
99.75,0.331324
100,0.331324
100.25,0.331324
100.5,0.331324
100.75,0.331324
101,0.331324
101.25,0.331324
101.5,0.331324
101.75,0.331324
102,0.331324
102.25,0.331324
102.5,0.331324
102.75,0.331324
103,0.331324
103.25,0.331324
103.5,0.331324
103.75,0.331324
104,0.331324
104.25,0.331324
104.5,0.331324
104.75,0.33132
105,0.33132
105.25,0.33132
105.5,0.33132
105.75,0.33132
106,0.33132
106.25,0.33132
106.5,0.33132
106.75,0.33132
107,0.33132
107.25,0.33132
107.5,0.33132
107.75,0.33132
108,0.33132
108.25,0.33132
108.5,0.33132
108.75,0.33132
109,0.33132
109.25,0.33132
109.5,0.33132
109.75,0.33132
110,0.33132
110.25,0.33132
110.5,0.33132
110.75,0.33132
111,0.331317
111.25,0.331317
111.5,0.331317
111.75,0.331317
112,0.331317
112.25,0.331317
112.5,0.331317
112.75,0.331317
113,0.331317
113.25,0.331317
113.5,0.331317
113.75,0.331317
114,0.331317
114.25,0.331317
114.5,0.331317
114.75,0.331317
115,0.331317
115.25,0.331317
115.5,0.331317
115.75,0.331317
116,0.331317
116.25,0.331317
116.5,0.331317
116.75,0.331317
117,0.331317
117.25,0.331317
117.5,0.331317
117.75,0.331313
118,0.331313
118.25,0.331313
118.5,0.331313
118.75,0.331313
119,0.331313
119.25,0.331313
119.5,0.331313
119.75,0.331313
