Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,1
26.25,1
26.5,1
26.75,1
27,1
27.25,1
27.5,1
27.75,1
28,1
28.25,1
28.5,1
28.75,1
29,1
29.25,1
29.5,1
29.75,1
30,1
30.25,1
30.5,1
30.75,1
31,1
31.25,1
31.5,1
31.75,1
32,1
32.25,1
32.5,1
32.75,1
33,1
33.25,1
33.5,1
33.75,1
34,1
34.25,1
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,2
36.75,2
37,2
37.25,2
37.5,2
37.75,2
38,3
38.25,3
38.5,3
38.75,3
39,3
39.25,3
39.5,3
39.75,3
40,3
40.25,3
40.5,3
40.75,4
41,4
41.25,5
41.5,5
41.75,6
42,7
42.25,8
42.5,9
42.75,10
43,10
43.25,11
43.5,12
43.75,12
44,13
44.25,13
44.5,14
44.75,14
45,16
45.25,16
45.5,18
45.75,20
46,21
46.25,22
46.5,22
46.75,25
47,26
47.25,28
47.5,29
47.75,30
48,32
48.25,32
48.5,36
48.75,37
49,39
49.25,40
49.5,41
49.75,42
50,43
50.25,45
50.5,46
50.75,49
51,54
51.25,56
51.5,60
51.75,60
52,63
52.25,65
52.5,69
52.75,71
53,77
53.25,82
53.5,84
53.75,86
54,90
54.25,94
54.5,98
54.75,103
55,106
55.25,112
55.5,115
55.75,118
56,123
56.25,124
56.5,128
56.75,133
57,136
57.25,146
57.5,148
57.75,152
58,159
58.25,167
58.5,171
58.75,175
59,180
59.25,181
59.5,186
59.75,190
60,199
60.25,203
60.5,205
60.75,211
61,217
61.25,225
61.5,228
61.75,228
62,233
62.25,237
62.5,238
62.75,243
63,248
63.25,250
63.5,252
63.75,253
64,256
64.25,258
64.5,262
64.75,262
65,263
65.25,267
65.5,270
65.75,274
66,276
66.25,277
66.5,279
66.75,285
67,288
67.25,289
67.5,290
67.75,294
68,297
68.25,301
68.5,303
68.75,306
69,308
69.25,310
69.5,310
69.75,312
70,314
70.25,318
70.5,321
70.75,323
71,323
71.25,325
71.5,325
71.75,329
72,333
72.25,333
72.5,334
72.75,337
73,338
73.25,341
73.5,342
73.75,344
74,347
74.25,347
74.5,348
74.75,348
75,349
75.25,352
75.5,353
75.75,357
76,358
76.25,358
76.5,361
76.75,363
77,364
77.25,366
77.5,367
77.75,367
78,371
78.25,372
78.5,372
78.75,372
79,372
79.25,375
79.5,376
79.75,378
80,378
80.25,378
80.5,379
80.75,379
81,379
81.25,379
81.5,381
81.75,382
82,383
82.25,383
82.5,383
82.75,385
83,385
83.25,385
83.5,386
83.75,386
84,387
84.25,388
84.5,388
84.75,388
85,389
85.25,389
85.5,389
85.75,389
86,390
86.25,390
86.5,391
86.75,393
87,393
87.25,393
87.5,393
87.75,393
88,393
88.25,393
88.5,395
88.75,395
89,395
89.25,395
89.5,395
89.75,395
90,396
90.25,396
90.5,396
90.75,397
91,397
91.25,398
91.5,398
91.75,398
92,398
92.25,399
92.5,399
92.75,399
93,399
93.25,399
93.5,399
93.75,399
94,399
94.25,400
94.5,400
94.75,400
95,400
95.25,400
95.5,400
95.75,400
96,400
96.25,400
96.5,400
96.75,400
97,401
97.25,401
97.5,401
97.75,401
98,401
98.25,401
98.5,401
98.75,401
99,401
99.25,401
99.5,401
99.75,401
100,401
100.25,401
100.5,401
100.75,401
101,401
101.25,401
101.5,401
101.75,401
102,401
102.25,401
102.5,401
102.75,401
103,401
103.25,401
103.5,401
103.75,401
104,401
104.25,401
104.5,401
104.75,401
105,401
105.25,401
105.5,401
105.75,401
106,401
106.25,401
106.5,401
106.75,401
107,401
107.25,401
107.5,401
107.75,401
108,401
108.25,401
108.5,401
108.75,401
109,401
109.25,401
109.5,401
109.75,402
110,402
110.25,402
110.5,402
110.75,402
111,402
111.25,402
111.5,402
111.75,402
112,402
112.25,402
112.5,402
112.75,402
113,402
113.25,402
113.5,402
113.75,402
114,402
114.25,402
114.5,402
114.75,402
115,402
115.25,402
115.5,402
115.75,402
116,402
116.25,402
116.5,402
116.75,402
117,403
117.25,403
117.5,403
117.75,403
118,403
118.25,403
118.5,403
118.75,403
119,403
119.25,403
119.5,403
119.75,403
