Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,inf
1,0.921465
1.25,0.853744
1.5,1.19378
1.75,1.12418
2,0.985788
2.25,1.09712
2.5,1.05728
2.75,1.02425
3,1.16518
3.25,1.97504
3.5,1.07929
3.75,1.098
4,1.07291
4.25,1.03715
4.5,1.03066
4.75,1.68274
5,1.1363
5.25,1.94894
5.5,1.01727
5.75,1.068
6,1.03411
6.25,1.00331
6.5,0.925866
6.75,0.993866
7,0.983316
7.25,0.979554
7.5,0.999415
7.75,0.815634
8,0.885503
8.25,0.659011
8.5,0.880804
8.75,0.901603
9,0.757811
9.25,0.952339
9.5,0.919788
9.75,0.979213
10,0.978208
10.25,0.93308
10.5,0.808823
10.75,0.878758
11,0.900245
11.25,0.95551
11.5,0.918908
11.75,0.781149
12,0.888333
12.25,0.954788
12.5,0.971307
12.75,0.975705
13,0.973467
13.25,0.961558
13.5,0.960074
13.75,0.964805
14,0.931493
14.25,0.92804
14.5,0.861011
14.75,0.95843
15,0.941516
15.25,0.934827
15.5,0.976149
15.75,0.923973
16,0.928646
16.25,0.896974
16.5,0.957317
16.75,0.933805
17,0.891849
17.25,0.89561
17.5,0.905284
17.75,0.94277
18,0.944961
18.25,0.928669
18.5,0.946299
18.75,0.910368
19,0.922715
19.25,0.931323
19.5,0.901034
19.75,0.900544
20,0.908594
20.25,0.901681
20.5,0.870049
20.75,0.926605
21,0.92268
21.25,0.90121
21.5,0.895678
21.75,0.883765
22,0.879805
22.25,0.87453
22.5,0.918078
22.75,0.854669
23,0.902098
23.25,0.908609
23.5,0.893125
23.75,0.898123
24,0.908715
24.25,0.885647
24.5,0.897696
24.75,0.87946
25,0.896166
25.25,0.884564
25.5,0.887097
25.75,0.883447
26,0.866715
26.25,0.903661
26.5,0.902846
26.75,0.870486
27,0.881696
27.25,0.886353
27.5,0.87069
27.75,0.852703
28,0.878194
28.25,0.878559
28.5,0.870747
28.75,0.869116
29,0.834073
29.25,0.8513
29.5,0.858415
29.75,0.855647
30,0.867981
30.25,0.831227
30.5,0.851257
30.75,0.868808
31,0.873574
31.25,0.821223
31.5,0.842194
31.75,0.837507
32,0.862575
32.25,0.817206
32.5,0.823687
32.75,0.803858
33,0.856217
33.25,0.835586
33.5,0.821373
33.75,0.831637
34,0.831563
34.25,0.860188
34.5,0.816407
34.75,0.827033
35,0.814662
35.25,0.826976
35.5,0.841781
35.75,0.82396
36,0.792865
36.25,0.787024
36.5,0.800994
36.75,0.787212
37,0.764537
37.25,0.811719
37.5,0.810481
37.75,0.798073
38,0.793374
38.25,0.78112
38.5,0.807998
38.75,0.779672
39,0.808099
39.25,0.792812
39.5,0.84321
39.75,0.80827
40,0.79199
40.25,0.815964
40.5,0.834946
40.75,0.846201
41,0.806727
41.25,0.800164
41.5,0.816046
41.75,0.796153
42,0.806062
42.25,0.819841
42.5,0.805741
42.75,0.773963
43,0.80809
43.25,0.833084
43.5,0.862467
43.75,0.874552
44,0.836556
44.25,0.858882
44.5,0.85014
44.75,0.822451
45,0.817403
45.25,0.858081
45.5,0.800179
45.75,0.793144
46,0.875756
46.25,0.888574
46.5,0.877454
46.75,0.826454
47,0.858311
47.25,0.87205
47.5,0.910943
47.75,0.815453
48,0.859332
48.25,0.894329
48.5,0.887019
48.75,0.906888
49,0.912699
49.25,0.89403
49.5,0.869955
49.75,0.881248
50,0.900322
50.25,0.901051
50.5,0.86019
50.75,0.936441
51,0.965591
51.25,0.903247
51.5,0.956274
51.75,0.856618
52,0.863041
52.25,0.989515
52.5,0.934941
52.75,0.944956
53,0.965973
53.25,0.941828
53.5,0.975488
53.75,0.979354
54,0.977216
54.25,0.9456
54.5,0.913683
54.75,0.985269
55,0.862517
55.25,1.01359
55.5,1.03283
55.75,1.04879
56,1.03868
56.25,1.0042
56.5,1.019
56.75,1.07423
57,1.21268
57.25,1.01211
57.5,1.06398
57.75,1.0211
58,1.08658
58.25,1.00485
58.5,1.07759
58.75,1.01907
59,1.01361
59.25,1.06172
59.5,1.04955
59.75,1.1504
60,1.00677
60.25,1.0721
60.5,1.21152
60.75,1.00536
61,1.02418
61.25,1.02946
61.5,1.22322
61.75,1.0231
62,1.07443
62.25,inf
62.5,1.04042
62.75,1.11701
63,1.05905
63.25,1.04088
63.5,1.08329
63.75,1.06416
64,1.2163
64.25,-nan
64.5,1.38011
64.75,inf
65,-nan
65.25,inf
65.5,inf
65.75,1.40864
66,1.6612
66.25,inf
66.5,1.58713
66.75,1.23006
67,1.50999
67.25,inf
67.5,1.56721
67.75,1.04267
68,1.7372
68.25,1.0444
68.5,1.09342
68.75,inf
69,inf
69.25,inf
69.5,inf
69.75,1.29104
70,1.11887
70.25,1.10803
70.5,1.03745
70.75,inf
71,1.02508
71.25,1.22728
71.5,1.03178
71.75,-nan
72,1.00377
72.25,1.152
72.5,inf
72.75,-nan
73,-nan
73.25,-nan
73.5,-nan
73.75,-nan
74,inf
74.25,-nan
74.5,-nan
74.75,inf
75,-nan
75.25,inf
75.5,-nan
75.75,-nan
76,-nan
76.25,-nan
76.5,-nan
76.75,inf
77,-nan
77.25,-nan
77.5,inf
77.75,-nan
78,-nan
78.25,-nan
78.5,-nan
78.75,-nan
79,1.00048
79.25,-nan
79.5,-nan
79.75,-nan
80,-nan
80.25,-nan
80.5,-nan
80.75,-nan
81,-nan
81.25,-nan
81.5,-nan
81.75,-nan
82,-nan
82.25,-nan
82.5,-nan
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,-nan
84,-nan
84.25,1.06553
84.5,-nan
84.75,-nan
85,-nan
85.25,-nan
85.5,-nan
85.75,-nan
86,-nan
86.25,inf
86.5,-nan
86.75,-nan
87,-nan
87.25,-nan
87.5,-nan
87.75,-nan
88,-nan
88.25,-nan
88.5,-nan
88.75,1.49613
89,-nan
89.25,-nan
89.5,-nan
89.75,1.35357
90,-nan
90.25,-nan
