Time,susceptible_lambda_C
0,0
0.25,0
0.5,0.395475
0.75,6.59321
1,7.68624
1.25,9.24173
1.5,9.28289
1.75,18.0508
2,14.6445
2.25,12.944
2.5,13.9609
2.75,14.0747
3,14.8327
3.25,16.3064
3.5,18.1108
3.75,17.9339
4,21.9818
4.25,20.7748
4.5,21.4734
4.75,21.5289
5,20.4635
5.25,24.9404
5.5,24.1611
5.75,25.3429
6,39.3241
6.25,39.912
6.5,44.0419
6.75,58.3095
7,59.133
7.25,58.087
7.5,61.7693
7.75,63.6264
8,62.5851
8.25,63.8559
8.5,65.2737
8.75,63.3807
9,66.1154
9.25,67.4053
9.5,77.2911
9.75,75.6292
10,84.7473
10.25,85.0604
10.5,90.1126
10.75,95.4243
11,101.335
11.25,101.389
11.5,105.784
11.75,104.18
12,116.752
12.25,117.157
12.5,123.24
12.75,137.993
13,143.653
13.25,152.504
13.5,166.294
13.75,174.054
14,184.278
14.25,186.749
14.5,178.883
14.75,175.992
15,177.171
15.25,221.56
15.5,234.116
15.75,248.659
16,251.964
16.25,258.489
16.5,260.471
16.75,269.693
17,260.894
17.25,271.829
17.5,285.372
17.75,300.628
18,315.135
18.25,334.236
18.5,353.49
18.75,358.055
19,383.312
19.25,403.988
19.5,426.435
19.75,445.545
20,449.142
20.25,462.737
20.5,515.707
20.75,550.729
21,573.583
21.25,601.729
21.5,632.012
21.75,629.704
22,656.006
22.25,683.569
22.5,696.419
22.75,741.81
23,760.399
23.25,786.294
23.5,798.471
23.75,848.536
24,884.444
24.25,910.388
24.5,935.293
24.75,954.088
25,965.431
25.25,1014.65
25.5,1024.98
25.75,1053.39
26,1100.54
26.25,1153.82
26.5,1172.35
26.75,1204.59
27,1250.49
27.25,1254.43
27.5,1286.58
27.75,1328.38
28,1366.97
28.25,1423.71
28.5,1474.68
28.75,1490.7
29,1518.8
29.25,1521.57
29.5,1561.67
29.75,1594.47
30,1589.09
30.25,1604.22
30.5,1614
30.75,1636.23
31,1626.66
31.25,1664.42
31.5,1633.53
31.75,1656.82
32,1667.86
32.25,1691.65
32.5,1671.48
32.75,1685.64
33,1711.91
33.25,1709.76
33.5,1710.16
33.75,1714.07
34,1733.88
34.25,1719.8
34.5,1713.33
34.75,1683.38
35,1673.08
35.25,1654.25
35.5,1619.48
35.75,1607.24
36,1564.16
36.25,1531.51
36.5,1497.92
36.75,1444.53
37,1403.25
37.25,1378.41
37.5,1341.18
37.75,1312.91
38,1277.37
38.25,1234.79
38.5,1191.78
38.75,1154.1
39,1102.71
39.25,1084.17
39.5,1057.92
39.75,1024.97
40,987.418
40.25,970.92
40.5,944.272
40.75,905.794
41,869.832
41.25,835.018
41.5,811.733
41.75,785.948
42,753.866
42.25,727.985
42.5,702.517
42.75,671.872
43,645.085
43.25,617.934
43.5,593.49
43.75,570.249
44,552.018
44.25,530.466
44.5,508.826
44.75,490.047
45,473.79
45.25,456.603
45.5,438.952
45.75,416.73
46,399.406
46.25,384.277
46.5,368.292
46.75,354.502
47,341.753
47.25,329.128
47.5,315.314
47.75,302.408
48,290.384
48.25,276.365
48.5,265.574
48.75,256.86
49,241.974
49.25,232.245
49.5,221.377
49.75,211.908
50,202.325
50.25,194.302
50.5,185.12
50.75,175.28
51,167.927
51.25,162.395
51.5,154.33
51.75,146.451
52,139.572
52.25,133.536
52.5,127.984
52.75,122.879
53,116.165
53.25,111.457
53.5,106.94
53.75,100.927
54,97.1358
54.25,92.5505
54.5,89.6881
54.75,84.2101
55,80.4383
55.25,77.4908
55.5,75.5899
55.75,72.2765
56,69.7344
56.25,66.9744
56.5,63.8126
56.75,61.5953
57,59.3199
57.25,56.5946
57.5,54.2849
57.75,52.6217
58,51.1222
58.25,49.6043
58.5,47.6013
58.75,44.8822
59,43.1418
59.25,41.28
59.5,40.0996
59.75,38.0182
60,36.7298
60.25,35.2868
60.5,33.7655
60.75,32.2733
61,31.6099
61.25,30.0363
61.5,28.9935
61.75,27.7403
62,26.3154
62.25,24.9505
62.5,23.9274
62.75,23.534
63,22.6642
63.25,21.5576
63.5,20.5088
63.75,19.41
64,18.9657
64.25,18.3193
64.5,17.5698
64.75,17.083
