Time,cumulative_mean_fraction_lambda_C
81.75,0.345657
82,0.345684
82.25,0.345684
82.5,0.345684
82.75,0.345684
83,0.345684
83.25,0.345684
83.5,0.345684
83.75,0.345684
84,0.345684
84.25,0.34568
84.5,0.34568
84.75,0.34568
85,0.345687
85.25,0.345694
85.5,0.345694
85.75,0.3457
86,0.3457
86.25,0.345697
86.5,0.345697
86.75,0.345697
87,0.345697
87.25,0.345697
87.5,0.345697
87.75,0.345697
88,0.345703
88.25,0.34571
88.5,0.34571
88.75,0.345713
89,0.34572
89.25,0.34572
89.5,0.34572
89.75,0.345717
90,0.345723
90.25,0.345723
90.5,0.345723
90.75,0.345723
91,0.345723
91.25,0.345723
91.5,0.345723
91.75,0.345723
92,0.345723
92.25,0.34572
92.5,0.34572
92.75,0.34572
93,0.34572
93.25,0.34572
93.5,0.34572
93.75,0.34572
94,0.34572
94.25,0.34572
94.5,0.34572
94.75,0.34572
95,0.34572
95.25,0.34572
95.5,0.34572
95.75,0.34572
96,0.34572
96.25,0.34572
96.5,0.34572
96.75,0.34572
97,0.34572
97.25,0.34572
97.5,0.34572
97.75,0.34572
98,0.34572
98.25,0.345716
98.5,0.345716
98.75,0.345716
99,0.345716
99.25,0.345716
99.5,0.345716
99.75,0.345716
100,0.345716
100.25,0.345716
100.5,0.345716
100.75,0.345716
101,0.345716
101.25,0.345716
101.5,0.345716
101.75,0.345716
102,0.345716
102.25,0.345716
102.5,0.345716
102.75,0.345716
103,0.345716
103.25,0.345716
103.5,0.345716
103.75,0.345716
104,0.345716
104.25,0.345716
104.5,0.345716
104.75,0.345723
105,0.345723
105.25,0.345723
105.5,0.345723
105.75,0.345723
106,0.345723
106.25,0.345723
106.5,0.345723
106.75,0.345723
107,0.345723
107.25,0.345723
107.5,0.345723
107.75,0.345723
108,0.345723
108.25,0.345723
108.5,0.345723
108.75,0.345723
109,0.345723
109.25,0.345723
109.5,0.345723
109.75,0.345723
110,0.345723
110.25,0.345723
110.5,0.345723
110.75,0.345723
111,0.345719
111.25,0.345719
111.5,0.345719
111.75,0.345719
112,0.345719
112.25,0.345719
112.5,0.345719
112.75,0.345719
113,0.345719
113.25,0.345719
113.5,0.345719
113.75,0.345719
114,0.345719
114.25,0.345719
114.5,0.345719
114.75,0.345719
115,0.345719
115.25,0.345719
115.5,0.345719
115.75,0.345719
116,0.345719
116.25,0.345719
116.5,0.345719
116.75,0.345719
117,0.345719
117.25,0.345719
117.5,0.345719
117.75,0.345726
118,0.345726
118.25,0.345726
118.5,0.345726
118.75,0.345726
119,0.345726
119.25,0.345726
119.5,0.345726
119.75,0.345726
