Time,susceptible_lambda
0,0
0.25,0
0.5,7.08591
0.75,83.1886
1,45.6535
1.25,46.947
1.5,43.4893
1.75,102.87
2,62.0615
2.25,55.3169
2.5,56.9821
2.75,54.2166
3,52.9075
3.25,67.5205
3.5,76.5477
3.75,77.6026
4,88.7529
4.25,73.027
4.5,68.4122
4.75,65.5659
5,57.7564
5.25,91.0964
5.5,79.3191
5.75,81.2902
6,198.812
6.25,128.321
6.5,137.793
6.75,190.868
7,173.002
7.25,217.899
7.5,223.094
7.75,229.634
8,221.709
8.25,227.122
8.5,224.713
8.75,214.4
9,221.971
9.25,235.966
9.5,308.68
9.75,247.642
10,288.813
10.25,271.335
10.5,298.218
10.75,364.811
11,346.596
11.25,337.585
11.5,339.012
11.75,322.894
12,391.769
12.25,396.038
12.5,428.714
12.75,612.751
13,534.393
13.25,522.613
13.5,543.919
13.75,547.589
14,617.493
14.25,569.579
14.5,600.769
14.75,608.136
15,626.338
15.25,954.771
15.5,885.679
15.75,897.917
16,854.677
16.25,905.475
16.5,944.971
16.75,984.732
17,902.656
17.25,916.902
17.5,1016.14
17.75,1089.51
18,1093.91
18.25,1277.1
18.5,1256.76
18.75,1256.7
19,1371.39
19.25,1509.92
19.5,1537.1
19.75,1652.13
20,1611.41
20.25,1578.15
20.5,2028.38
20.75,1921.34
21,2057.49
21.25,2102.81
21.5,2267.04
21.75,2223.35
22,2322.37
22.25,2377.82
22.5,2338.67
22.75,2608.33
23,2756.16
23.25,2697.88
23.5,2686.94
23.75,2933.63
24,3048.22
24.25,3228.11
24.5,3148.7
24.75,3231.91
25,3244.14
25.25,3485.43
25.5,3543.94
25.75,3576.44
26,3906.26
26.25,4044.98
26.5,3904.92
26.75,4103.7
27,4176.65
27.25,4112.65
27.5,4075.12
27.75,4356.52
28,4608.73
28.25,4727.21
28.5,4824.38
28.75,4701.73
29,4823.05
29.25,4888.29
29.5,5065.03
29.75,5267.4
30,5075.83
30.25,5298.6
30.5,5410.28
30.75,5737.33
31,5275.89
31.25,5577.63
31.5,5446.09
31.75,5596.37
32,5375.19
32.25,5431.42
32.5,5241.64
32.75,5645.49
33,5636.1
33.25,5449.45
33.5,5496.48
33.75,5576.75
34,5726.86
34.25,5357.11
34.5,5409.7
34.75,5206.97
35,5306.51
35.25,5290.24
35.5,5084.23
35.75,4930.67
36,4717.89
36.25,4656.64
36.5,4479.66
36.75,4308.36
37,4330.39
37.25,4221.09
37.5,4026.82
37.75,3971.46
38,3822.5
38.25,3774.1
38.5,3543.16
38.75,3441.84
39,3214.16
39.25,3337.51
39.5,3072.05
39.75,2911.93
40,2824.33
40.25,2837.15
40.5,2728.75
40.75,2515.95
41,2359.2
41.25,2263.83
41.5,2164.01
41.75,2125.56
42,2042.27
42.25,1904.79
42.5,1846.05
42.75,1721.12
43,1682.62
43.25,1623.52
43.5,1543.55
43.75,1472.87
44,1464.05
44.25,1372.93
44.5,1243.31
44.75,1180.28
45,1186.32
45.25,1080.36
45.5,1039.21
45.75,999.23
46,974.86
46.25,944.184
46.5,870.731
46.75,832.234
47,828.636
47.25,774.315
47.5,661.56
47.75,638.647
48,671.65
48.25,617.674
48.5,573.351
48.75,578.734
49,513.635
49.25,497.883
49.5,457.361
49.75,432.992
50,410.031
50.25,392.809
50.5,380.424
50.75,368.06
51,345.26
51.25,319.164
51.5,289.317
51.75,296.313
52,286.567
52.25,258.901
52.5,254.264
52.75,280.242
53,240.35
53.25,249.585
53.5,240.659
53.75,209.012
54,195.876
54.25,177.477
54.5,194.303
54.75,145.591
55,160.279
55.25,136.187
55.5,140.154
55.75,138.014
56,137.544
56.25,130.549
56.5,128.491
56.75,128.656
57,131.761
57.25,123.848
57.5,117.176
57.75,109.432
58,102.222
58.25,95.6022
58.5,103.069
58.75,100.1
59,89.1583
59.25,81.0088
59.5,71.7823
59.75,75.7628
60,65.7018
60.25,56.2897
60.5,59.3202
60.75,82.8063
61,76.7513
61.25,55.4414
61.5,56.9952
61.75,50.6424
62,42.5723
62.25,54.7509
62.5,47.0023
62.75,55.8506
63,39.8125
63.25,42.0367
63.5,35.4202
63.75,31.4212
64,28.9117
64.25,28.5286
