Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,1
6,1
6.25,1
6.5,2
6.75,3
7,3
7.25,4
7.5,4
7.75,4
8,4
8.25,4
8.5,4
8.75,4
9,7
9.25,7
9.5,7
9.75,9
10,9
10.25,9
10.5,9
10.75,9
11,9
11.25,10
11.5,10
11.75,11
12,11
12.25,11
12.5,11
12.75,13
13,14
13.25,14
13.5,14
13.75,14
14,15
14.25,16
14.5,17
14.75,19
15,21
15.25,22
15.5,23
15.75,26
16,26
16.25,28
16.5,28
16.75,29
17,29
17.25,33
17.5,35
17.75,38
18,40
18.25,42
18.5,43
18.75,44
19,45
19.25,47
19.5,52
19.75,54
20,55
20.25,61
20.5,63
20.75,67
21,69
21.25,75
21.5,78
21.75,80
22,87
22.25,91
22.5,93
22.75,95
23,102
23.25,106
23.5,109
23.75,113
24,118
24.25,123
24.5,129
24.75,139
25,144
25.25,150
25.5,158
25.75,167
26,173
26.25,182
26.5,185
26.75,193
27,202
27.25,208
27.5,222
27.75,234
28,245
28.25,256
28.5,264
28.75,273
29,285
29.25,300
29.5,309
29.75,321
30,339
30.25,353
30.5,372
30.75,386
31,403
31.25,416
31.5,435
31.75,457
32,474
32.25,486
32.5,504
32.75,524
33,545
33.25,568
33.5,584
33.75,613
34,636
34.25,658
34.5,680
34.75,706
35,726
35.25,758
35.5,785
35.75,810
36,833
36.25,858
36.5,881
36.75,906
37,941
37.25,972
37.5,1006
37.75,1033
38,1069
38.25,1102
38.5,1136
38.75,1159
39,1191
39.25,1219
39.5,1247
39.75,1279
40,1309
40.25,1337
40.5,1363
40.75,1406
41,1436
41.25,1480
41.5,1509
41.75,1545
42,1584
42.25,1624
42.5,1653
42.75,1687
43,1717
43.25,1744
43.5,1768
43.75,1797
44,1834
44.25,1852
44.5,1891
44.75,1924
45,1951
45.25,1976
45.5,2003
45.75,2025
46,2060
46.25,2097
46.5,2130
46.75,2151
47,2183
47.25,2202
47.5,2231
47.75,2254
48,2277
48.25,2294
48.5,2325
48.75,2346
49,2374
49.25,2405
49.5,2422
49.75,2434
50,2464
50.25,2489
50.5,2513
50.75,2531
51,2544
51.25,2557
51.5,2579
51.75,2606
52,2633
52.25,2656
52.5,2667
52.75,2693
53,2717
53.25,2735
53.5,2757
53.75,2775
54,2782
54.25,2794
54.5,2809
54.75,2829
55,2852
55.25,2866
55.5,2873
55.75,2889
56,2902
56.25,2919
56.5,2932
56.75,2943
57,2958
57.25,2969
57.5,2978
57.75,2988
58,2998
58.25,3012
58.5,3018
58.75,3022
59,3038
59.25,3047
59.5,3053
59.75,3059
60,3065
60.25,3073
60.5,3080
60.75,3088
61,3099
61.25,3106
61.5,3113
61.75,3125
62,3129
62.25,3131
62.5,3136
62.75,3137
63,3139
63.25,3145
63.5,3152
63.75,3152
64,3157
64.25,3159
64.5,3163
64.75,3167
65,3170
65.25,3173
65.5,3173
65.75,3176
66,3180
66.25,3182
66.5,3184
66.75,3188
67,3191
67.25,3194
67.5,3196
67.75,3201
68,3202
68.25,3204
68.5,3205
68.75,3209
69,3210
69.25,3210
69.5,3212
69.75,3219
70,3221
70.25,3225
70.5,3227
70.75,3229
71,3232
71.25,3233
71.5,3233
71.75,3233
72,3234
72.25,3235
72.5,3236
72.75,3238
73,3240
73.25,3240
73.5,3240
73.75,3241
74,3243
74.25,3244
74.5,3245
74.75,3247
75,3248
75.25,3248
75.5,3249
75.75,3250
76,3250
76.25,3251
76.5,3252
76.75,3252
77,3253
77.25,3253
77.5,3253
77.75,3254
78,3255
78.25,3255
78.5,3256
78.75,3259
79,3261
79.25,3261
79.5,3262
79.75,3263
80,3263
80.25,3263
80.5,3263
80.75,3265
81,3265
81.25,3265
81.5,3265
81.75,3265
82,3267
82.25,3267
82.5,3268
82.75,3268
83,3268
83.25,3268
83.5,3268
83.75,3268
84,3268
84.25,3268
84.5,3268
84.75,3268
85,3268
85.25,3268
85.5,3268
