Time,num_exposed
0,100
0.25,93
0.5,86
0.75,88
1,96
1.25,97
1.5,106
1.75,115
2,121
2.25,137
2.5,152
2.75,161
3,174
3.25,188
3.5,197
3.75,204
4,209
4.25,216
4.5,225
4.75,250
5,289
5.25,314
5.5,351
5.75,372
6,396
6.25,411
6.5,435
6.75,447
7,471
7.25,487
7.5,505
7.75,523
8,567
8.25,605
8.5,660
8.75,694
9,711
9.25,749
9.5,796
9.75,853
10,906
10.25,948
10.5,1000
10.75,1044
11,1121
11.25,1194
11.5,1240
11.75,1304
12,1368
12.25,1418
12.5,1462
12.75,1531
13,1596
13.25,1673
13.5,1763
13.75,1859
14,1920
14.25,2026
14.5,2152
14.75,2259
15,2345
15.25,2431
15.5,2521
15.75,2624
16,2736
16.25,2864
16.5,2972
16.75,3085
17,3228
17.25,3358
17.5,3514
17.75,3687
18,3831
18.25,4022
18.5,4186
18.75,4362
19,4592
19.25,4880
19.5,5113
19.75,5328
20,5643
20.25,5921
20.5,6156
20.75,6412
21,6672
21.25,6943
21.5,7216
21.75,7566
22,7894
22.25,8167
22.5,8428
22.75,8745
23,9085
23.25,9449
23.5,9738
23.75,10064
24,10355
24.25,10726
24.5,11130
24.75,11560
25,12073
25.25,12536
25.5,12999
25.75,13452
26,13840
26.25,14332
26.5,14843
26.75,15328
27,15719
27.25,16112
27.5,16645
27.75,17130
28,17623
28.25,18131
28.5,18602
28.75,19123
29,19578
29.25,20098
29.5,20569
29.75,21056
30,21444
30.25,21896
30.5,22295
30.75,22694
31,23013
31.25,23408
31.5,23719
31.75,24043
32,24369
32.25,24582
32.5,24850
32.75,25065
33,25245
33.25,25415
33.5,25558
33.75,25649
34,25626
34.25,25655
34.5,25728
34.75,25690
35,25625
35.25,25552
35.5,25380
35.75,25107
36,24888
36.25,24692
36.5,24452
36.75,24201
37,23925
37.25,23581
37.5,23306
37.75,23009
38,22721
38.25,22376
38.5,21953
38.75,21562
39,21178
39.25,20686
39.5,20282
39.75,19867
40,19443
40.25,18993
40.5,18522
40.75,18045
41,17485
41.25,17053
41.5,16573
41.75,16127
42,15678
42.25,15204
42.5,14750
42.75,14314
43,13887
43.25,13484
43.5,13005
43.75,12542
44,12122
44.25,11726
44.5,11284
44.75,10872
45,10448
45.25,10093
45.5,9707
45.75,9323
46,8955
46.25,8571
46.5,8278
46.75,7946
47,7639
47.25,7292
47.5,6990
47.75,6687
48,6408
48.25,6145
48.5,5878
48.75,5648
49,5413
49.25,5235
49.5,5003
49.75,4787
50,4580
50.25,4357
50.5,4151
50.75,3982
51,3813
51.25,3648
51.5,3493
51.75,3335
52,3195
52.25,3015
52.5,2910
52.75,2786
53,2654
53.25,2531
53.5,2396
53.75,2271
54,2159
54.25,2065
54.5,1990
54.75,1895
55,1821
55.25,1716
55.5,1637
55.75,1564
56,1494
56.25,1422
56.5,1361
56.75,1297
57,1234
57.25,1171
57.5,1115
57.75,1062
58,1016
58.25,970
58.5,921
58.75,875
59,830
59.25,790
59.5,742
59.75,715
60,681
60.25,653
60.5,618
60.75,581
61,546
61.25,508
61.5,487
61.75,467
62,433
62.25,416
62.5,398
62.75,372
63,351
63.25,342
63.5,326
63.75,311
64,296
64.25,283
64.5,270
64.75,260
65,251
65.25,243
65.5,236
65.75,224
66,215
66.25,212
66.5,205
66.75,204
67,197
67.25,192
67.5,184
67.75,172
68,165
68.25,161
68.5,152
68.75,142
69,139
69.25,136
69.5,132
69.75,134
70,131
70.25,124
70.5,117
70.75,112
71,109
71.25,100
71.5,96
71.75,92
72,89
72.25,86
72.5,82
72.75,76
73,74
73.25,71
73.5,67
73.75,64
74,62
74.25,55
74.5,51
74.75,51
75,49
75.25,46
75.5,46
75.75,42
76,41
76.25,36
76.5,34
76.75,32
77,33
77.25,31
77.5,30
77.75,28
78,30
78.25,31
78.5,30
78.75,31
79,33
79.25,32
79.5,31
79.75,30
80,29
80.25,28
80.5,27
80.75,24
81,22
81.25,22
81.5,21
81.75,20
82,16
82.25,13
82.5,12
82.75,10
83,11
83.25,11
83.5,12
83.75,12
84,12
84.25,12
84.5,11
84.75,10
85,10
85.25,10
85.5,10
85.75,10
86,10
86.25,9
86.5,9
86.75,9
87,8
87.25,8
87.5,8
87.75,8
88,7
88.25,7
88.5,7
88.75,7
89,6
89.25,5
89.5,3
89.75,3
90,4
90.25,4
90.5,3
