Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.500272
1,0.153808
1.25,0.12331
1.5,0.426439
1.75,0.351985
2,0.491782
2.25,0.679023
2.5,0.447899
2.75,0.413683
3,0.58337
3.25,0.446699
3.5,0.422227
3.75,0.709935
4,0.291852
4.25,0.397623
4.5,0.487561
4.75,0.342778
5,0.306994
5.25,0.35619
5.5,0.485653
5.75,0.552237
6,0.436004
6.25,0.61861
6.5,0.354224
6.75,0.350196
7,0.345033
7.25,0.450142
7.5,0.503307
7.75,0.386148
8,0.425946
8.25,0.429771
8.5,0.428643
8.75,0.475476
9,0.383613
9.25,0.46827
9.5,0.556219
9.75,0.30143
10,0.517353
10.25,0.407072
10.5,0.453207
10.75,0.311143
11,0.361771
11.25,0.378496
11.5,0.397474
11.75,0.351328
12,0.414174
12.25,0.324318
12.5,0.387342
12.75,0.339439
13,0.355915
13.25,0.341213
13.5,0.372724
13.75,0.274008
14,0.337911
14.25,0.357586
14.5,0.399051
14.75,0.380467
15,0.370239
15.25,0.467519
15.5,0.401892
15.75,0.414973
16,0.369687
16.25,0.401591
16.5,0.371959
16.75,0.439685
17,0.320457
17.25,0.401469
17.5,0.4247
17.75,0.398538
18,0.425029
18.25,0.412133
18.5,0.417411
18.75,0.410351
19,0.406267
19.25,0.386587
19.5,0.408819
19.75,0.394863
20,0.394415
20.25,0.398887
20.5,0.409436
20.75,0.406008
21,0.382953
21.25,0.374054
21.5,0.371289
21.75,0.387759
22,0.40018
22.25,0.383414
22.5,0.381387
22.75,0.380541
23,0.374851
23.25,0.409279
23.5,0.362605
23.75,0.395969
24,0.387874
24.25,0.389593
24.5,0.391425
24.75,0.358377
25,0.385952
25.25,0.37942
25.5,0.384568
25.75,0.406642
26,0.386368
26.25,0.401831
26.5,0.364637
26.75,0.368236
27,0.371883
27.25,0.380834
27.5,0.372633
27.75,0.39531
28,0.389076
28.25,0.377181
28.5,0.386677
28.75,0.376611
29,0.396293
29.25,0.369329
29.5,0.365564
29.75,0.379455
30,0.357957
30.25,0.375263
30.5,0.365186
30.75,0.376903
31,0.378637
31.25,0.353629
31.5,0.348814
31.75,0.350896
32,0.337277
32.25,0.345452
32.5,0.352106
32.75,0.335156
33,0.342141
33.25,0.312078
33.5,0.330939
33.75,0.343587
34,0.33479
34.25,0.318444
34.5,0.302957
34.75,0.322407
35,0.31528
35.25,0.312285
35.5,0.311915
35.75,0.303421
36,0.276593
36.25,0.291563
36.5,0.294537
36.75,0.287674
37,0.27368
37.25,0.297898
37.5,0.300866
37.75,0.287925
38,0.275942
38.25,0.269733
38.5,0.267047
38.75,0.246958
39,0.239589
39.25,0.253056
39.5,0.241515
39.75,0.272435
40,0.244705
40.25,0.210216
40.5,0.236219
40.75,0.228964
41,0.220538
41.25,0.230639
41.5,0.240382
41.75,0.229958
42,0.223533
42.25,0.181644
42.5,0.20054
42.75,0.23044
43,0.151284
43.25,0.193935
43.5,0.178812
43.75,0.179342
44,0.175366
44.25,0.19536
44.5,0.195361
44.75,0.15752
45,0.181716
45.25,0.168246
45.5,0.165826
45.75,0.184144
46,0.147166
46.25,0.211255
46.5,0.196735
46.75,0.122015
47,0.152607
47.25,0.141936
47.5,0.141496
47.75,0.14583
48,0.174188
48.25,0.0973108
48.5,0.124642
48.75,0.0843495
49,0.171458
49.25,0.0990755
49.5,0.120772
49.75,0.140189
50,0.144186
50.25,0.137688
50.5,0.172946
50.75,0.129825
51,0.0830608
51.25,0.153329
51.5,0.0710799
51.75,0.0991207
52,0.126808
52.25,0.142866
52.5,0.0741101
52.75,0.126517
53,0.0598196
53.25,0.0944615
53.5,0.0843641
53.75,0.142218
54,0.0624424
54.25,0.0996313
54.5,0.0468991
54.75,0.060365
55,0.0529296
55.25,0.0248962
55.5,0.0637721
55.75,0.0276779
56,0.064856
56.25,0.0989988
56.5,0.00962083
56.75,0.0937968
57,0.0651978
57.25,0
57.5,0.0851967
57.75,0.0968122
58,0.0861016
58.25,0.0758056
58.5,0.0384651
58.75,0.235805
59,0.0916094
59.25,0.0983771
59.5,0.28923
59.75,0
60,0.0983979
60.25,0.212754
60.5,0
