Time,susceptible_lambda_H
0,0
0.25,0
0.5,17.1815
0.75,28.3988
1,17.217
1.25,35.4737
1.5,44.3645
1.75,30.7467
2,24.2254
2.25,27.0326
2.5,16.6443
2.75,26.1363
3,15.8119
3.25,16.9781
3.5,11.0919
3.75,12.1167
4,38.5118
4.25,51.8656
4.5,73.176
4.75,87.2732
5,77.2874
5.25,66.8958
5.5,34.5031
5.75,55.8896
6,40.5464
6.25,64.4921
6.5,59.7024
6.75,52.4848
7,35.922
7.25,78.7799
7.5,55.522
7.75,109.475
8,75.9556
8.25,50.7557
8.5,53.0371
8.75,51.8196
9,69.2679
9.25,100.08
9.5,98.1159
9.75,80.8527
10,85.0754
10.25,99.5817
10.5,135.588
10.75,152.26
11,151.663
11.25,133.708
11.5,151.274
11.75,143.866
12,162.941
12.25,137.836
12.5,189.148
12.75,186.074
13,191.328
13.25,170.623
13.5,236.975
13.75,189.48
14,236.1
14.25,321.561
14.5,245.915
14.75,183.29
15,192.725
15.25,253.788
15.5,254.547
15.75,316.003
16,268.882
16.25,261.44
16.5,311.59
16.75,386.099
17,375.547
17.25,392.77
17.5,471.732
17.75,455.822
18,545.965
18.25,605.663
18.5,600.711
18.75,768.963
19,797.073
19.25,708.864
19.5,659.657
19.75,669.858
20,649.693
20.25,699.394
20.5,829.864
20.75,751.409
21,759.626
21.25,844.931
21.5,891.989
21.75,813.006
22,761.631
22.25,821.281
22.5,809.535
22.75,906.066
23,965.211
23.25,1051.77
23.5,1032.62
23.75,1115.18
24,1197.55
24.25,1428.15
24.5,1335.81
24.75,1392.23
25,1439.44
25.25,1255.56
25.5,1345.97
25.75,1223.38
26,1420.18
26.25,1766.77
26.5,1625.44
26.75,1420.54
27,1422.6
27.25,1764.4
27.5,1646.06
27.75,1761.22
28,1767.84
28.25,1815.97
28.5,1892.27
28.75,1811.06
29,1925.28
29.25,2135.38
29.5,1969.81
29.75,1983.12
30,2012.65
30.25,1947.82
30.5,1926.17
30.75,2008.41
31,2083.43
31.25,1983.04
31.5,1921.81
31.75,2006.41
32,2034.89
32.25,1943.3
32.5,2009.85
32.75,2029.36
33,2170.51
33.25,1838.11
33.5,1936.8
33.75,1825.39
34,1795.88
34.25,1970.01
34.5,1917.25
34.75,1864.16
35,1731.58
35.25,1644.26
35.5,1702.53
35.75,1765.21
36,1653.55
36.25,1627.88
36.5,1699.77
36.75,1570.69
37,1445.87
37.25,1509.67
37.5,1493.79
37.75,1363.67
38,1326.07
38.25,1256.25
38.5,1248.4
38.75,1183.68
39,1094.22
39.25,1166.19
39.5,1075.12
39.75,1136.13
40,1076.45
40.25,888.247
40.5,1020.61
40.75,854.809
41,807.923
41.25,780.248
41.5,756.227
41.75,772.787
42,768.739
42.25,708.614
42.5,645.824
42.75,615.338
43,548.221
43.25,558.782
43.5,513.71
43.75,574.812
44,440.329
44.25,420.059
44.5,412.997
44.75,482.865
45,331.819
45.25,331.044
45.5,288.7
45.75,290.221
46,299.349
46.25,321.223
46.5,308.682
46.75,324.314
47,251.014
47.25,241.362
47.5,232.59
47.75,204.135
48,223.273
48.25,274.435
48.5,192.726
48.75,237.297
49,201.083
49.25,219.761
49.5,190.803
49.75,190.721
50,173.703
50.25,131.611
50.5,126.452
50.75,121.454
51,102.29
51.25,136.689
51.5,94.3667
51.75,88.0203
52,98.8575
52.25,95.9336
52.5,76.6585
52.75,81.4252
53,50.514
53.25,86.9029
53.5,72.0776
53.75,70.5763
54,80.1466
54.25,73.8868
54.5,86.2151
54.75,55.4639
55,40.2149
55.25,57.8285
55.5,52.6185
55.75,64.1257
56,45.2471
56.25,43.9915
56.5,34.3782
56.75,45.6694
57,48.5967
57.25,35.4582
57.5,50.4202
57.75,31.5805
58,29.4633
58.25,27.6401
58.5,24.5973
58.75,28.6434
59,29.7862
59.25,18.8725
59.5,22.326
59.75,14.2923
60,12.816
60.25,12.434
60.5,12.4188
60.75,12.5467
61,12.4411
61.25,10.3967
61.5,11.5152
61.75,18.4534
62,17.8437
62.25,16.4892
62.5,7.47904
62.75,12.9307
63,31.3216
63.25,7.61229
63.5,4.44699
63.75,3.76364
64,10.4646
64.25,8.70387
