Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.000106882
1,0.176543
1.25,0.2406
1.5,0.155017
1.75,0.14417
2,0.155656
2.25,0.130536
2.5,0.151882
2.75,0.177384
3,0.179169
3.25,0.193477
3.5,0.195619
3.75,0.194101
4,0.220946
4.25,0.215378
4.5,0.219164
4.75,0.247062
5,0.26253
5.25,0.263884
5.5,0.265705
5.75,0.264496
6,0.255956
6.25,0.252002
6.5,0.252538
6.75,0.254249
7,0.251996
7.25,0.261035
7.5,0.259044
7.75,0.263021
8,0.262017
8.25,0.264293
8.5,0.269271
8.75,0.271706
9,0.276196
9.25,0.279851
9.5,0.277808
9.75,0.283242
10,0.285841
10.25,0.292603
10.5,0.29417
10.75,0.296873
11,0.303293
11.25,0.304521
11.5,0.305613
11.75,0.308708
12,0.307329
12.25,0.311241
12.5,0.312407
12.75,0.314376
13,0.311316
13.25,0.313195
13.5,0.316378
13.75,0.320124
14,0.322983
14.25,0.32307
14.5,0.320488
14.75,0.320446
15,0.324096
15.25,0.320938
15.5,0.321428
15.75,0.322199
16,0.322961
16.25,0.322148
16.5,0.320831
16.75,0.320559
17,0.321162
17.25,0.320356
17.5,0.319236
17.75,0.319594
18,0.318521
18.25,0.317579
18.5,0.314858
18.75,0.311496
19,0.309442
19.25,0.306932
19.5,0.307141
19.75,0.307407
20,0.306752
20.25,0.30627
20.5,0.30519
20.75,0.304855
21,0.305705
21.25,0.306075
21.5,0.306465
21.75,0.306075
22,0.307087
22.25,0.308682
22.5,0.31064
22.75,0.310905
23,0.312336
23.25,0.311992
23.5,0.312094
23.75,0.312328
24,0.312712
24.25,0.312423
24.5,0.311513
24.75,0.311961
25,0.311499
25.25,0.312027
25.5,0.312478
25.75,0.312424
26,0.312974
26.25,0.313188
26.5,0.313347
26.75,0.313236
27,0.3141
27.25,0.314475
27.5,0.314411
27.75,0.314452
28,0.314887
28.25,0.314575
28.5,0.314169
28.75,0.314142
29,0.31388
29.25,0.314255
29.5,0.313962
29.75,0.313865
30,0.313997
30.25,0.314072
30.5,0.314027
30.75,0.314151
31,0.31369
31.25,0.314212
31.5,0.315139
31.75,0.315785
32,0.316326
32.25,0.3168
32.5,0.317328
32.75,0.317884
33,0.318708
33.25,0.318995
33.5,0.319923
33.75,0.320357
34,0.320832
34.25,0.321518
34.5,0.32186
34.75,0.322149
35,0.32256
35.25,0.323341
35.5,0.323836
35.75,0.324103
36,0.324676
36.25,0.325185
36.5,0.325923
36.75,0.326523
37,0.327075
37.25,0.327612
37.5,0.327835
37.75,0.328305
38,0.328746
38.25,0.329317
38.5,0.329778
38.75,0.330372
39,0.330895
39.25,0.331412
39.5,0.332027
39.75,0.332519
40,0.332752
40.25,0.333204
40.5,0.333726
40.75,0.334069
41,0.334428
41.25,0.33492
41.5,0.335363
41.75,0.335745
42,0.336079
42.25,0.336556
42.5,0.336974
42.75,0.337185
43,0.33768
43.25,0.33789
43.5,0.338282
43.75,0.338635
44,0.338916
44.25,0.339297
44.5,0.339542
44.75,0.339826
45,0.33999
45.25,0.340218
45.5,0.340513
45.75,0.340745
46,0.341122
46.25,0.341264
46.5,0.341462
46.75,0.341656
47,0.341872
47.25,0.34207
47.5,0.342243
47.75,0.342465
48,0.342574
48.25,0.342771
48.5,0.342914
48.75,0.343116
49,0.343186
49.25,0.343426
49.5,0.343538
49.75,0.343686
50,0.343816
50.25,0.343857
50.5,0.343936
50.75,0.344066
51,0.344182
51.25,0.34433
51.5,0.344431
51.75,0.344539
52,0.34468
52.25,0.344733
52.5,0.344787
52.75,0.344858
53,0.344957
53.25,0.345048
53.5,0.345079
53.75,0.345139
54,0.345208
54.25,0.345251
54.5,0.345338
54.75,0.345421
55,0.345538
55.25,0.345573
55.5,0.345611
55.75,0.345633
56,0.345706
56.25,0.345766
56.5,0.345814
56.75,0.345887
57,0.345894
57.25,0.345932
57.5,0.345974
57.75,0.34597
58,0.345998
58.25,0.346066
58.5,0.34609
58.75,0.346088
59,0.346115
59.25,0.346122
59.5,0.346146
59.75,0.346176
60,0.346198
60.25,0.346224
60.5,0.346224
60.75,0.346255
61,0.34628
