Time,cumulative_mean_fraction_lambda_C
61.25,0.3463
61.5,0.346355
61.75,0.346385
62,0.346405
62.25,0.346448
62.5,0.346472
62.75,0.346486
63,0.346519
63.25,0.346522
63.5,0.346506
63.75,0.346523
64,0.346554
64.25,0.346571
64.5,0.346596
64.75,0.346626
65,0.346619
65.25,0.346649
65.5,0.346639
65.75,0.346639
66,0.346663
66.25,0.346682
66.5,0.346702
66.75,0.346729
67,0.346749
67.25,0.346766
67.5,0.346776
67.75,0.346772
68,0.346782
68.25,0.346782
68.5,0.346802
68.75,0.346802
69,0.346822
69.25,0.346829
69.5,0.34686
69.75,0.346881
70,0.34689
70.25,0.346887
70.5,0.346887
70.75,0.346894
71,0.346897
71.25,0.346917
71.5,0.346914
71.75,0.34691
72,0.346903
72.25,0.346913
72.5,0.34692
72.75,0.34692
73,0.346917
73.25,0.346927
73.5,0.346927
73.75,0.34693
74,0.346937
74.25,0.346933
74.5,0.346933
74.75,0.34694
75,0.346943
75.25,0.346946
75.5,0.346939
75.75,0.346946
76,0.346943
76.25,0.346943
76.5,0.346963
76.75,0.346959
77,0.346952
77.25,0.346952
77.5,0.346955
77.75,0.346955
78,0.346959
78.25,0.346965
78.5,0.346965
78.75,0.346972
79,0.346971
79.25,0.346971
79.5,0.346978
79.75,0.346985
80,0.346985
80.25,0.346985
80.5,0.346992
80.75,0.346992
81,0.346992
81.25,0.346998
81.5,0.347005
81.75,0.347005
82,0.347005
82.25,0.347005
82.5,0.347005
82.75,0.347005
83,0.347012
83.25,0.347012
83.5,0.347025
83.75,0.347025
84,0.347025
84.25,0.347025
84.5,0.347025
84.75,0.347025
85,0.347025
85.25,0.347022
85.5,0.347022
85.75,0.347022
86,0.347022
86.25,0.347022
86.5,0.347022
86.75,0.347022
87,0.347022
87.25,0.347018
87.5,0.347018
87.75,0.347018
88,0.347018
88.25,0.347018
88.5,0.347018
88.75,0.347018
89,0.347018
89.25,0.347018
89.5,0.347018
89.75,0.347018
90,0.347014
90.25,0.347014
90.5,0.347014
90.75,0.347014
91,0.347014
91.25,0.347014
91.5,0.347014
91.75,0.347014
92,0.347014
92.25,0.347014
92.5,0.347014
92.75,0.347014
93,0.347014
93.25,0.347014
93.5,0.347014
93.75,0.347014
94,0.347014
94.25,0.347014
94.5,0.347014
94.75,0.347014
95,0.347014
95.25,0.347014
95.5,0.347014
95.75,0.347014
96,0.347014
96.25,0.347014
96.5,0.347014
96.75,0.347014
97,0.347014
97.25,0.347014
97.5,0.347014
97.75,0.347014
98,0.347014
98.25,0.347014
98.5,0.347014
98.75,0.347014
99,0.347014
99.25,0.347014
99.5,0.347014
99.75,0.347014
100,0.347014
100.25,0.347014
100.5,0.347014
100.75,0.347014
101,0.347014
101.25,0.347014
101.5,0.347014
101.75,0.347014
102,0.347014
102.25,0.347014
102.5,0.347014
102.75,0.347014
103,0.347014
103.25,0.347014
103.5,0.347014
103.75,0.347014
104,0.347014
104.25,0.347014
104.5,0.347014
104.75,0.347014
105,0.347014
105.25,0.347014
105.5,0.347014
105.75,0.347014
106,0.347014
106.25,0.347014
106.5,0.347014
106.75,0.347014
107,0.347014
107.25,0.347014
107.5,0.347014
107.75,0.347014
108,0.347014
108.25,0.347014
108.5,0.347014
108.75,0.347014
109,0.347014
109.25,0.347014
109.5,0.347014
109.75,0.347014
110,0.347014
110.25,0.347014
110.5,0.347014
110.75,0.347014
111,0.347014
111.25,0.347014
111.5,0.347014
111.75,0.347014
112,0.347014
112.25,0.347014
112.5,0.347014
112.75,0.347014
113,0.347014
113.25,0.347014
113.5,0.347014
113.75,0.347014
114,0.347014
114.25,0.347014
114.5,0.347014
114.75,0.347014
115,0.347014
115.25,0.347014
115.5,0.347014
115.75,0.347014
116,0.347014
116.25,0.347014
116.5,0.347014
116.75,0.347014
117,0.347014
117.25,0.347014
117.5,0.347014
117.75,0.347014
118,0.347014
118.25,0.347014
118.5,0.347014
118.75,0.347014
119,0.347014
119.25,0.347014
119.5,0.347014
119.75,0.347014
