Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.000106882
1,0.230831
1.25,0.376721
1.5,0.00218958
1.75,0.119286
2,0.19586
2.25,0.0483256
2.5,0.252208
2.75,0.419654
3,0.189391
3.25,0.31804
3.5,0.220863
3.75,0.179002
4,0.532036
4.25,0.135944
4.5,0.262511
4.75,0.451373
5,0.359807
5.25,0.275575
5.5,0.27988
5.75,0.247856
6,0.141306
6.25,0.193194
6.5,0.261324
6.75,0.291134
7,0.21462
7.25,0.411187
7.5,0.230994
7.75,0.328881
8,0.249555
8.25,0.293805
8.5,0.32887
8.75,0.311176
9,0.372388
9.25,0.335733
9.5,0.244528
9.75,0.362729
10,0.326989
10.25,0.403538
10.5,0.321095
10.75,0.341573
11,0.401372
11.25,0.321621
11.5,0.326526
11.75,0.360888
12,0.279409
12.25,0.393498
12.5,0.338093
12.75,0.350802
13,0.247457
13.25,0.346667
13.5,0.377993
13.75,0.385782
14,0.382319
14.25,0.324647
14.5,0.277639
14.75,0.319619
15,0.404921
15.25,0.247845
15.5,0.332645
15.75,0.338599
16,0.339427
16.25,0.306111
16.5,0.290006
16.75,0.314625
17,0.333456
17.25,0.303116
17.5,0.297303
17.75,0.326933
18,0.295446
18.25,0.298658
18.5,0.256752
18.75,0.243147
19,0.27163
19.25,0.26196
19.5,0.311398
19.75,0.313058
20,0.294257
20.25,0.296122
20.5,0.280615
20.75,0.297403
21,0.325194
21.25,0.314237
21.5,0.315605
21.75,0.297869
22,0.329829
22.25,0.347566
22.5,0.35847
22.75,0.317344
23,0.346508
23.25,0.303988
23.5,0.314759
23.75,0.318006
24,0.322594
24.25,0.305296
24.5,0.289719
24.75,0.322945
25,0.300742
25.25,0.324501
25.5,0.323726
25.75,0.311075
26,0.327878
26.25,0.31879
26.5,0.317371
26.75,0.310227
27,0.338728
27.25,0.325593
27.5,0.312661
27.75,0.31564
28,0.328077
28.25,0.30523
28.5,0.301841
28.75,0.313354
29,0.305563
29.25,0.325786
29.5,0.304827
29.75,0.310744
30,0.318591
30.25,0.316655
30.5,0.312433
30.75,0.318578
31,0.295715
31.25,0.333719
31.5,0.351214
31.75,0.341429
32,0.33903
32.25,0.337416
32.5,0.34008
32.75,0.343231
33,0.358374
33.25,0.332175
33.5,0.366991
33.75,0.343487
34,0.348212
34.25,0.361246
34.5,0.341533
34.75,0.339243
35,0.348321
35.25,0.373644
35.5,0.357134
35.75,0.344127
36,0.36984
36.25,0.362277
36.5,0.384069
36.75,0.374864
37,0.373206
37.25,0.376344
37.5,0.34783
37.75,0.373747
38,0.372999
38.25,0.388389
38.5,0.383441
38.75,0.399666
39,0.39424
39.25,0.400386
39.5,0.415673
39.75,0.39893
40,0.366906
40.25,0.404791
40.5,0.418032
40.75,0.393694
41,0.405185
41.25,0.428419
41.5,0.422837
41.75,0.411683
42,0.407458
42.25,0.447076
42.5,0.435548
42.75,0.385929
43,0.473571
43.25,0.397626
43.5,0.463903
43.75,0.45304
44,0.430649
44.25,0.465665
44.5,0.438982
44.75,0.457964
45,0.407759
45.25,0.451161
45.5,0.475641
45.75,0.467453
46,0.560026
46.25,0.420867
46.5,0.447385
46.75,0.45308
47,0.481263
47.25,0.471664
47.5,0.461482
47.75,0.520922
48,0.435115
48.25,0.5242
48.5,0.458459
48.75,0.524313
49,0.413766
49.25,0.543922
49.5,0.443464
49.75,0.505582
50,0.493755
50.25,0.391734
50.5,0.460395
50.75,0.526528
51,0.515752
51.25,0.577206
51.5,0.495622
51.75,0.517033
52,0.570544
52.25,0.467282
52.5,0.430041
52.75,0.546018
53,0.564883
53.25,0.596282
53.5,0.432766
53.75,0.498553
54,0.519509
54.25,0.453521
54.5,0.57281
54.75,0.50635
55,0.576357
55.25,0.570632
55.5,0.537629
55.75,0.413695
56,0.609559
56.25,0.55986
56.5,0.592757
56.75,0.680543
57,0.387099
57.25,0.560287
57.5,0.562705
57.75,0.324578
58,0.474413
58.25,0.761128
58.5,0.498471
58.75,0.317432
59,0.609794
59.25,0.412406
59.5,0.600095
59.75,0.595451
60,0.580245
60.25,0.54301
60.5,0.340826
60.75,0.597262
61,0.645781
61.25,0.667977
