Time,num_infected
66,1311
66.25,1252
66.5,1216
66.75,1174
67,1122
67.25,1086
67.5,1046
67.75,1008
68,984
68.25,943
68.5,913
68.75,878
69,842
69.25,813
69.5,777
69.75,732
70,696
70.25,685
70.5,668
70.75,644
71,621
71.25,606
71.5,577
71.75,563
72,543
72.25,513
72.5,494
72.75,481
73,458
73.25,441
73.5,428
73.75,407
74,395
74.25,391
74.5,372
74.75,354
75,343
75.25,330
75.5,316
75.75,304
76,291
76.25,279
76.5,268
76.75,256
77,242
77.25,234
77.5,224
77.75,209
78,197
78.25,190
78.5,185
78.75,177
79,166
79.25,162
79.5,157
79.75,154
80,147
80.25,141
80.5,137
80.75,136
81,131
81.25,126
81.5,125
81.75,121
82,115
82.25,114
82.5,111
82.75,108
83,105
83.25,101
83.5,98
83.75,95
84,91
84.25,86
84.5,84
84.75,83
85,79
85.25,79
85.5,77
85.75,73
86,69
86.25,68
86.5,63
86.75,57
87,53
87.25,52
87.5,52
87.75,49
88,49
88.25,45
88.5,44
88.75,42
89,41
89.25,41
89.5,41
89.75,40
90,37
90.25,35
90.5,34
90.75,33
91,30
91.25,30
91.5,30
91.75,28
92,28
92.25,27
92.5,24
92.75,24
93,22
93.25,20
93.5,20
93.75,20
94,20
94.25,20
94.5,18
94.75,18
95,18
95.25,18
95.5,16
95.75,15
96,14
96.25,13
96.5,12
96.75,10
97,10
97.25,10
97.5,10
97.75,10
98,9
98.25,9
98.5,8
98.75,8
99,7
99.25,7
99.5,7
99.75,7
100,7
100.25,7
100.5,7
100.75,7
101,7
101.25,8
101.5,8
101.75,8
102,8
102.25,8
102.5,8
102.75,8
103,8
103.25,7
103.5,7
103.75,7
104,7
104.25,6
104.5,6
104.75,5
105,5
105.25,5
105.5,5
105.75,5
106,5
106.25,5
106.5,5
106.75,5
107,6
107.25,5
107.5,4
107.75,4
108,4
108.25,4
108.5,3
108.75,3
109,3
109.25,3
109.5,3
109.75,2
110,1
110.25,1
110.5,1
110.75,1
111,1
111.25,1
111.5,1
111.75,1
112,1
112.25,1
112.5,1
112.75,1
113,1
113.25,1
113.5,1
113.75,1
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
