Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,1
6,1
6.25,1
6.5,2
6.75,3
7,3
7.25,4
7.5,4
7.75,4
8,4
8.25,4
8.5,4
8.75,4
9,7
9.25,7
9.5,7
9.75,9
10,9
10.25,9
10.5,9
10.75,9
11,9
11.25,10
11.5,10
11.75,11
12,11
12.25,11
12.5,11
12.75,13
13,14
13.25,14
13.5,14
13.75,13
14,14
14.25,15
14.5,15
14.75,16
15,18
15.25,18
15.5,19
15.75,22
16,22
16.25,24
16.5,24
16.75,25
17,22
17.25,26
17.5,28
17.75,29
18,31
18.25,33
18.5,34
18.75,35
19,36
19.25,37
19.5,42
19.75,43
20,44
20.25,50
20.5,52
20.75,54
21,55
21.25,61
21.5,64
21.75,66
22,72
22.25,74
22.5,76
22.75,76
23,81
23.25,84
23.5,86
23.75,87
24,92
24.25,95
24.5,101
24.75,110
25,115
25.25,117
25.5,123
25.75,129
26,133
26.25,140
26.5,142
26.75,149
27,157
27.25,161
27.5,170
27.75,180
28,189
28.25,195
28.5,200
28.75,206
29,216
29.25,225
29.5,231
29.75,241
30,252
30.25,261
30.5,279
30.75,291
31,301
31.25,310
31.5,325
31.75,342
32,355
32.25,363
32.5,374
32.75,385
33,401
33.25,417
33.5,424
33.75,444
34,463
34.25,475
34.5,494
34.75,512
35,523
35.25,548
35.5,562
35.75,575
36,587
36.25,602
36.5,616
36.75,632
37,655
37.25,672
37.5,697
37.75,712
38,729
38.25,749
38.5,764
38.75,773
39,788
39.25,803
39.5,812
39.75,822
40,835
40.25,851
40.5,858
40.75,881
41,890
41.25,912
41.5,924
41.75,931
42,948
42.25,966
42.5,972
42.75,981
43,990
43.25,986
43.5,983
43.75,985
44,1001
44.25,992
44.5,1006
44.75,1016
45,1010
45.25,1004
45.5,996
45.75,991
46,989
46.25,995
46.5,993
46.75,992
47,991
47.25,981
47.5,979
47.75,972
48,965
48.25,956
48.5,959
48.75,939
49,935
49.25,924
49.5,913
49.75,887
50,878
50.25,865
50.5,860
50.75,844
51,827
51.25,812
51.5,809
51.75,808
52,799
52.25,803
52.5,775
52.75,767
53,764
53.25,758
53.5,754
53.75,749
54,722
54.25,695
54.5,677
54.75,676
55,668
55.25,664
55.5,641
55.75,634
56,625
56.25,625
56.5,607
56.75,596
57,583
57.25,563
57.5,556
57.75,553
58,533
58.25,522
58.5,504
58.75,490
59,494
59.25,489
59.5,473
59.75,453
60,432
60.25,417
60.5,413
60.75,395
61,382
61.25,370
61.5,356
61.75,350
62,346
62.25,337
62.5,326
62.75,306
63,287
63.25,279
63.5,278
63.75,263
64,254
64.25,240
64.5,231
64.75,224
65,212
65.25,203
65.5,194
65.75,188
66,182
66.25,170
66.5,166
66.75,166
67,153
67.25,147
67.5,143
67.75,142
68,137
68.25,131
68.5,124
68.75,120
69,111
69.25,104
69.5,99
69.75,94
70,92
70.25,94
70.5,91
70.75,92
71,93
71.25,88
71.5,81
71.75,81
72,77
72.25,76
72.5,73
72.75,71
73,70
73.25,67
73.5,67
73.75,65
74,63
74.25,62
74.5,61
74.75,59
75,57
75.25,54
75.5,53
75.75,49
76,48
76.25,47
76.5,47
76.75,43
77,43
77.25,43
77.5,41
77.75,35
78,34
78.25,30
78.5,29
78.75,30
79,29
79.25,28
79.5,29
79.75,30
80,29
80.25,28
80.5,27
80.75,27
81,25
81.25,25
81.5,25
81.75,24
82,24
82.25,23
82.5,23
82.75,21
83,20
83.25,19
83.5,19
83.75,18
84,18
84.25,17
84.5,16
84.75,16
85,15
85.25,15
85.5,15
85.75,14
86,13
86.25,13
86.5,12
86.75,9
87,7
87.25,7
87.5,7
87.75,6
88,7
88.25,7
88.5,7
88.75,5
89,5
89.25,5
89.5,5
89.75,5
90,3
90.25,3
90.5,2
90.75,2
91,2
91.25,2
91.5,3
91.75,3
92,3
92.25,3
92.5,3
92.75,3
93,3
93.25,3
93.5,3
93.75,3
94,4
94.25,4
94.5,4
94.75,4
95,4
95.25,4
95.5,3
95.75,3
96,2
96.25,2
96.5,2
96.75,2
97,2
97.25,2
97.5,2
97.75,2
98,2
98.25,2
98.5,2
98.75,2
99,2
99.25,2
99.5,1
99.75,1
100,1
100.25,1
100.5,1
100.75,1
101,1
101.25,1
101.5,1
101.75,2
102,1
102.25,1
102.5,1
102.75,1
103,1
103.25,1
103.5,1
103.75,1
104,1
104.25,1
104.5,1
104.75,1
105,1
105.25,1
105.5,1
105.75,1
106,2
106.25,2
106.5,2
106.75,2
107,2
107.25,2
107.5,2
107.75,2
108,2
108.25,2
108.5,2
108.75,2
109,2
109.25,2
109.5,2
109.75,1
110,1
110.25,1
110.5,1
110.75,1
111,1
111.25,1
111.5,1
111.75,1
112,1
112.25,1
112.5,1
112.75,1
113,1
113.25,1
113.5,1
113.75,1
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
