Time,num_affected
0,100
0.25,100
0.5,100
0.75,104
1,117
1.25,125
1.5,139
1.75,156
2,172
2.25,194
2.5,214
2.75,226
3,248
3.25,265
3.5,279
3.75,297
4,314
4.25,329
4.5,349
4.75,383
5,428
5.25,466
5.5,513
5.75,543
6,576
6.25,608
6.5,639
6.75,664
7,698
7.25,734
7.5,779
7.75,820
8,878
8.25,938
8.5,1008
8.75,1064
9,1109
9.25,1175
9.5,1241
9.75,1319
10,1396
10.25,1475
10.5,1555
10.75,1643
11,1744
11.25,1862
11.5,1954
11.75,2064
12,2161
12.25,2259
12.5,2357
12.75,2479
13,2593
13.25,2733
13.5,2869
13.75,3027
14,3168
14.25,3337
14.5,3532
14.75,3709
15,3872
15.25,4035
15.5,4207
15.75,4400
16,4599
16.25,4827
16.5,5029
16.75,5255
17,5508
17.25,5761
17.5,6050
17.75,6340
18,6630
18.25,6955
18.5,7276
18.75,7629
19,8038
19.25,8481
19.5,8891
19.75,9305
20,9787
20.25,10247
20.5,10693
20.75,11170
21,11653
21.25,12177
21.5,12692
21.75,13290
22,13877
22.25,14442
22.5,15029
22.75,15644
23,16295
23.25,16991
23.5,17638
23.75,18359
24,19069
24.25,19838
24.5,20662
24.75,21501
25,22420
25.25,23364
25.5,24296
25.75,25259
26,26188
26.25,27185
26.5,28251
26.75,29284
27,30307
27.25,31327
27.5,32472
27.75,33584
28,34689
28.25,35843
28.5,37022
28.75,38261
29,39462
29.25,40741
29.5,42046
29.75,43346
30,44584
30.25,45887
30.5,47172
30.75,48486
31,49728
31.25,51057
31.5,52367
31.75,53683
32,54959
32.25,56220
32.5,57523
32.75,58782
33,60002
33.25,61303
33.5,62510
33.75,63682
34,64784
34.25,65901
34.5,67045
34.75,68179
35,69265
35.25,70338
35.5,71383
35.75,72333
36,73249
36.25,74253
36.5,75194
36.75,76127
37,77037
37.25,77884
37.5,78750
37.75,79564
38,80356
38.25,81132
38.5,81828
38.75,82529
39,83209
39.25,83832
39.5,84448
39.75,85073
40,85652
40.25,86192
40.5,86725
40.75,87224
41,87666
41.25,88126
41.5,88572
41.75,89017
42,89434
42.25,89819
42.5,90200
42.75,90589
43,90919
43.25,91237
43.5,91522
43.75,91804
44,92085
44.25,92362
44.5,92589
44.75,92812
45,93036
45.25,93227
45.5,93430
45.75,93601
46,93762
46.25,93929
46.5,94105
46.75,94268
47,94414
47.25,94558
47.5,94695
47.75,94813
48,94924
48.25,95027
48.5,95145
48.75,95251
49,95345
49.25,95459
49.5,95566
49.75,95653
50,95736
50.25,95818
50.5,95883
50.75,95951
51,96016
51.25,96077
51.5,96141
51.75,96201
52,96261
52.25,96303
52.5,96364
52.75,96398
53,96441
53.25,96476
53.5,96510
53.75,96548
54,96586
54.25,96624
54.5,96661
54.75,96711
55,96760
55.25,96775
55.5,96794
55.75,96825
56,96852
56.25,96879
56.5,96898
56.75,96919
57,96936
57.25,96953
57.5,96972
57.75,96992
58,97013
58.25,97029
58.5,97044
58.75,97051
59,97061
59.25,97071
59.5,97080
59.75,97092
60,97101
60.25,97114
60.5,97121
60.75,97133
61,97141
61.25,97147
61.5,97158
61.75,97167
62,97174
62.25,97185
62.5,97193
62.75,97200
63,97211
63.25,97222
63.5,97227
63.75,97234
64,97240
64.25,97247
64.5,97252
64.75,97258
65,97263
65.25,97269
65.5,97272
65.75,97275
66,97280
66.25,97289
66.5,97292
66.75,97302
67,97305
67.25,97309
67.5,97312
67.75,97316
68,97319
68.25,97322
68.5,97325
68.75,97325
69,97328
69.25,97332
69.5,97338
69.75,97344
70,97347
70.25,97348
70.5,97348
70.75,97349
71,97351
71.25,97354
71.5,97355
71.75,97356
72,97358
72.25,97361
72.5,97362
72.75,97362
73,97363
73.25,97366
73.5,97366
73.75,97368
74,97369
74.25,97370
74.5,97370
74.75,97371
75,97373
75.25,97375
75.5,97377
75.75,97378
76,97379
76.25,97379
76.5,97382
76.75,97383
77,97385
77.25,97385
77.5,97387
77.75,97387
78,97389
78.25,97393
78.5,97393
78.75,97394
79,97397
79.25,97397
79.5,97398
79.75,97399
80,97399
80.25,97399
80.5,97400
80.75,97400
81,97400
81.25,97401
81.5,97402
81.75,97402
82,97402
82.25,97402
82.5,97402
82.75,97402
83,97403
83.25,97403
83.5,97405
83.75,97405
84,97405
84.25,97405
84.5,97405
84.75,97405
85,97405
85.25,97406
85.5,97406
85.75,97406
86,97406
86.25,97406
86.5,97406
86.75,97406
87,97406
87.25,97407
87.5,97407
87.75,97407
88,97407
88.25,97407
88.5,97407
88.75,97407
89,97407
89.25,97407
89.5,97407
89.75,97407
90,97408
90.25,97408
90.5,97408
90.75,97408
91,97408
91.25,97408
91.5,97408
91.75,97408
92,97408
92.25,97408
92.5,97408
92.75,97408
93,97408
93.25,97408
93.5,97408
93.75,97408
94,97408
94.25,97408
94.5,97408
94.75,97408
95,97408
95.25,97408
95.5,97408
95.75,97408
96,97408
96.25,97408
96.5,97408
96.75,97408
97,97408
97.25,97408
97.5,97408
97.75,97408
98,97408
98.25,97408
98.5,97408
98.75,97408
99,97408
99.25,97408
99.5,97408
99.75,97408
100,97408
100.25,97408
100.5,97408
100.75,97408
101,97408
101.25,97408
101.5,97408
101.75,97408
102,97408
102.25,97408
102.5,97408
102.75,97408
103,97408
103.25,97408
103.5,97408
103.75,97408
104,97408
104.25,97408
104.5,97408
104.75,97408
105,97408
105.25,97408
105.5,97408
105.75,97408
106,97408
106.25,97408
106.5,97408
106.75,97408
107,97408
107.25,97408
107.5,97408
107.75,97408
108,97408
108.25,97408
108.5,97408
108.75,97408
109,97408
109.25,97408
109.5,97408
109.75,97408
110,97408
110.25,97408
110.5,97408
110.75,97408
111,97408
111.25,97408
111.5,97408
111.75,97408
112,97408
112.25,97408
112.5,97408
112.75,97408
113,97408
113.25,97408
113.5,97408
113.75,97408
114,97408
114.25,97408
114.5,97408
114.75,97408
115,97408
115.25,97408
115.5,97408
115.75,97408
116,97408
116.25,97408
116.5,97408
116.75,97408
117,97408
117.25,97408
117.5,97408
117.75,97408
118,97408
118.25,97408
118.5,97408
118.75,97408
119,97408
119.25,97408
119.5,97408
119.75,97408
