Time,susceptible_lambda_W
0,0
0.25,0
0.5,7.27353
0.75,12.1423
1,13.702
1.25,19.0795
1.5,29.6625
1.75,35.8572
2,37.8635
2.25,33.1251
2.5,33.047
2.75,34.1539
3,27.063
3.25,28.0114
3.5,25.0976
3.75,24.762
4,28.8283
4.25,33.2043
4.5,40.1866
4.75,39.4078
5,52.509
5.25,66.2065
5.5,63.8618
5.75,75.1612
6,73.5515
6.25,67.8752
6.5,62.1405
6.75,62.7923
7,63.8017
7.25,75.308
7.5,70.9264
7.75,103.442
8,116.227
8.25,117.544
8.5,110.644
8.75,108.63
9,118.051
9.25,124.809
9.5,126.623
9.75,129.821
10,123.922
10.25,119.534
10.5,140.339
10.75,152.964
11,153.253
11.25,154.871
11.5,155.417
11.75,154.489
12,151.836
12.25,154.803
12.5,170.42
12.75,181.313
13,190.091
13.25,195.595
13.5,214.718
13.75,216.606
14,247.883
14.25,250.122
14.5,251.949
14.75,267.68
15,264.989
15.25,283.942
15.5,314.331
15.75,322.543
16,338.452
16.25,343.739
16.5,359.153
16.75,389.939
17,433.768
17.25,443.623
17.5,469.616
17.75,483.144
18,487.18
18.25,540.73
18.5,554.899
18.75,610.826
19,682.158
19.25,726.188
19.5,720.31
19.75,723.879
20,734.883
20.25,768.479
20.5,785.496
20.75,770.757
21,793.725
21.25,821.759
21.5,889.191
21.75,913.515
22,907.349
22.25,931.935
22.5,979.575
22.75,1035.82
23,1061.42
23.25,1046.61
23.5,1090.57
23.75,1146.39
24,1190.69
24.25,1264
24.5,1303.33
24.75,1366.49
25,1408.05
25.25,1432.5
25.5,1492.81
25.75,1497.85
26,1518.98
26.25,1563.77
26.5,1584.61
26.75,1611.45
27,1672.72
27.25,1716.98
27.5,1801.21
27.75,1846.03
28,1860.44
28.25,1874.02
28.5,1922.53
28.75,1950.67
29,1950.94
29.25,1967.96
29.5,1974.63
29.75,1946.01
30,1945.3
30.25,1942.58
30.5,1929.34
30.75,1897.19
31,1925.6
31.25,1876.2
31.5,1832.46
31.75,1834.31
32,1820.12
32.25,1781.89
32.5,1768.04
32.75,1713.93
33,1703.82
33.25,1675.38
33.5,1625.76
33.75,1563.47
34,1524.67
34.25,1504.28
34.5,1444.8
34.75,1405.89
35,1345.38
35.25,1286.91
35.5,1238.43
35.75,1201.06
36,1183.81
36.25,1116.25
36.5,1073.97
36.75,1020.88
37,978.682
37.25,962.338
37.5,938.135
37.75,884.993
38,845.073
38.25,790.366
38.5,735.775
38.75,705.846
39,666.21
39.25,625.973
39.5,609.78
39.75,567.052
40,538.232
40.25,519.493
40.5,503.412
40.75,461.326
41,440.774
41.25,410.63
41.5,376.756
41.75,355.377
42,334.923
42.25,310.355
42.5,289.377
42.75,260.747
43,240.703
43.25,225.763
43.5,212.898
43.75,204.717
44,193.359
44.25,179.138
44.5,167.854
44.75,163.292
45,145.465
45.25,140.416
45.5,128.5
45.75,122.476
46,118.399
46.25,105.255
46.5,91.8806
46.75,89.9812
47,78.558
47.25,72.8436
47.5,66.9413
47.75,60.9853
48,57.6021
48.25,54.1014
48.5,49.8983
48.75,47.7271
49,45.8397
49.25,41.3846
49.5,40.9808
49.75,37.9069
50,37.0797
50.25,32.4474
50.5,31.5005
50.75,31.4313
51,26.8022
51.25,24.2797
51.5,23.7162
51.75,22.6505
52,18.8416
52.25,18.0478
52.5,16.3727
52.75,15.7831
53,14.7409
53.25,13.953
53.5,12.7906
53.75,11.4275
54,10.2699
54.25,9.13271
54.5,8.90675
54.75,8.28863
55,8.2307
55.25,11.3028
55.5,7.64709
55.75,7.38371
56,6.67892
56.25,6.68418
56.5,6.51764
56.75,6.28952
57,5.67818
57.25,5.76562
57.5,5.74588
57.75,5.58459
58,5.10173
58.25,4.88636
58.5,4.82528
58.75,4.63807
59,4.36434
59.25,4.33513
59.5,3.92344
59.75,3.7686
60,3.2417
60.25,3.00092
60.5,3.20139
60.75,2.97424
61,2.98569
61.25,3.28445
61.5,3.06402
61.75,3.03319
62,2.92136
62.25,2.75464
62.5,2.42149
62.75,2.30045
63,2.15896
63.25,1.95337
63.5,1.43094
63.75,1.5546
64,1.47092
64.25,1.35797
