Time,cumulative_mean_fraction_lambda_H
61.25,0.32098
61.5,0.320953
61.75,0.320954
62,0.320952
62.25,0.320946
62.5,0.32095
62.75,0.320942
63,0.320945
63.25,0.32098
63.5,0.321003
63.75,0.32101
64,0.320999
64.25,0.320997
64.5,0.32098
64.75,0.320971
65,0.320985
65.25,0.320975
65.5,0.320996
65.75,0.321006
66,0.320999
66.25,0.321011
66.5,0.321001
66.75,0.320998
67,0.320988
67.25,0.320985
67.5,0.320986
67.75,0.321003
68,0.320993
68.25,0.321004
68.5,0.320994
68.75,0.320994
69,0.320984
69.25,0.320981
69.5,0.320961
69.75,0.320961
70,0.320952
70.25,0.320958
70.5,0.320958
70.75,0.320955
71,0.320958
71.25,0.320949
71.5,0.320945
71.75,0.320952
72,0.320956
72.25,0.320956
72.5,0.320953
72.75,0.320953
73,0.32095
73.25,0.32095
73.5,0.32095
73.75,0.320954
74,0.32095
74.25,0.320957
74.5,0.320957
74.75,0.320954
75,0.320957
75.25,0.320961
75.5,0.320975
75.75,0.320972
76,0.320978
76.25,0.320978
76.5,0.320969
76.75,0.320975
77,0.320989
77.25,0.320989
77.5,0.320993
77.75,0.320993
78,0.320997
78.25,0.321004
78.5,0.321004
78.75,0.321001
79,0.321001
79.25,0.321001
79.5,0.320998
79.75,0.320994
80,0.320994
80.25,0.320994
80.5,0.320991
80.75,0.320991
81,0.320991
81.25,0.320988
81.5,0.320985
81.75,0.320985
82,0.320985
82.25,0.320985
82.5,0.320985
82.75,0.320985
83,0.320981
83.25,0.320981
83.5,0.320975
83.75,0.320975
84,0.320975
84.25,0.320975
84.5,0.320975
84.75,0.320975
85,0.320975
85.25,0.320982
85.5,0.320982
85.75,0.320982
86,0.320982
86.25,0.320982
86.5,0.320982
86.75,0.320982
87,0.320982
87.25,0.320989
87.5,0.320989
87.75,0.320989
88,0.320989
88.25,0.320989
88.5,0.320989
88.75,0.320989
89,0.320989
89.25,0.320989
89.5,0.320989
89.75,0.320989
90,0.320996
90.25,0.320996
90.5,0.320996
90.75,0.320996
91,0.320996
91.25,0.320996
91.5,0.320996
91.75,0.320996
92,0.320996
92.25,0.320996
92.5,0.320996
92.75,0.320996
93,0.320996
93.25,0.320996
93.5,0.320996
93.75,0.320996
94,0.320996
94.25,0.320996
94.5,0.320996
94.75,0.320996
95,0.320996
95.25,0.320996
95.5,0.320996
95.75,0.320996
96,0.320996
96.25,0.320996
96.5,0.320996
96.75,0.320996
97,0.320996
97.25,0.320996
97.5,0.320996
97.75,0.320996
98,0.320996
98.25,0.320996
98.5,0.320996
98.75,0.320996
99,0.320996
99.25,0.320996
99.5,0.320996
99.75,0.320996
100,0.320996
100.25,0.320996
100.5,0.320996
100.75,0.320996
101,0.320996
101.25,0.320996
101.5,0.320996
101.75,0.320996
102,0.320996
102.25,0.320996
102.5,0.320996
102.75,0.320996
103,0.320996
103.25,0.320996
103.5,0.320996
103.75,0.320996
104,0.320996
104.25,0.320996
104.5,0.320996
104.75,0.320996
105,0.320996
105.25,0.320996
105.5,0.320996
105.75,0.320996
106,0.320996
106.25,0.320996
106.5,0.320996
106.75,0.320996
107,0.320996
107.25,0.320996
107.5,0.320996
107.75,0.320996
108,0.320996
108.25,0.320996
108.5,0.320996
108.75,0.320996
109,0.320996
109.25,0.320996
109.5,0.320996
109.75,0.320996
110,0.320996
110.25,0.320996
110.5,0.320996
110.75,0.320996
111,0.320996
111.25,0.320996
111.5,0.320996
111.75,0.320996
112,0.320996
112.25,0.320996
112.5,0.320996
112.75,0.320996
113,0.320996
113.25,0.320996
113.5,0.320996
113.75,0.320996
114,0.320996
114.25,0.320996
114.5,0.320996
114.75,0.320996
115,0.320996
115.25,0.320996
115.5,0.320996
115.75,0.320996
116,0.320996
116.25,0.320996
116.5,0.320996
116.75,0.320996
117,0.320996
117.25,0.320996
117.5,0.320996
117.75,0.320996
118,0.320996
118.25,0.320996
118.5,0.320996
118.75,0.320996
119,0.320996
119.25,0.320996
119.5,0.320996
119.75,0.320996
