Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.499621
1,0.588128
1.25,0.559917
1.5,0.564029
1.75,0.553313
2,0.499767
2.25,0.446613
2.5,0.420872
2.75,0.396662
3,0.371478
3.25,0.357443
3.5,0.357401
3.75,0.334893
4,0.32228
4.25,0.331722
4.5,0.325152
4.75,0.310819
5,0.31389
5.25,0.319532
5.5,0.309851
5.75,0.302406
6,0.310745
6.25,0.303025
6.5,0.307709
6.75,0.309968
7,0.31738
7.25,0.307233
7.5,0.30448
7.75,0.303369
8,0.304944
8.25,0.302902
8.5,0.298245
8.75,0.293313
9,0.291114
9.25,0.285274
9.5,0.280298
9.75,0.283852
10,0.276236
10.25,0.271246
10.5,0.268742
10.75,0.273221
11,0.270987
11.25,0.272922
11.5,0.273075
11.75,0.273899
12,0.275429
12.25,0.275736
12.5,0.275685
12.75,0.277432
13,0.282883
13.25,0.284438
13.5,0.282711
13.75,0.285815
14,0.285537
14.25,0.28722
14.5,0.28927
14.75,0.289792
15,0.286985
15.25,0.286888
15.5,0.285991
15.75,0.284215
16,0.28451
16.25,0.284886
16.5,0.287064
16.75,0.28525
17,0.288096
17.25,0.288423
17.5,0.287917
17.75,0.287295
18,0.28695
18.25,0.287057
18.5,0.288792
18.75,0.291497
19,0.293074
19.25,0.29616
19.5,0.295396
19.75,0.295247
20,0.296047
20.25,0.296453
20.5,0.297021
20.75,0.297002
21,0.296787
21.25,0.297434
21.5,0.298075
21.75,0.298814
22,0.297586
22.25,0.296461
22.5,0.295033
22.75,0.295313
23,0.294643
23.25,0.294317
23.5,0.295362
23.75,0.294993
24,0.294788
24.25,0.295191
24.5,0.296139
24.75,0.297023
25,0.297693
25.25,0.297628
25.5,0.297399
25.75,0.296821
26,0.296427
26.25,0.295799
26.5,0.29664
26.75,0.297521
27,0.297245
27.25,0.297125
27.5,0.297747
27.75,0.297458
28,0.296992
28.25,0.297657
28.5,0.298098
28.75,0.298486
29,0.298475
29.25,0.298677
29.5,0.299639
29.75,0.299945
30,0.300599
30.25,0.300812
30.5,0.301401
30.75,0.301485
31,0.30209
31.25,0.302366
31.5,0.302306
31.75,0.302438
32,0.302932
32.25,0.303251
32.5,0.303355
32.75,0.303746
33,0.303659
33.25,0.304767
33.5,0.304715
33.75,0.304866
34,0.305073
34.25,0.305331
34.5,0.306189
34.75,0.306724
35,0.30719
35.25,0.307295
35.5,0.307642
35.75,0.308232
36,0.308799
36.25,0.309305
36.5,0.309457
36.75,0.3098
37,0.310313
37.25,0.310481
37.5,0.31093
37.75,0.311211
38,0.311604
38.25,0.311894
38.5,0.312214
38.75,0.312565
39,0.313003
39.25,0.313253
39.5,0.313469
39.75,0.31358
40,0.314087
40.25,0.314531
40.5,0.314723
40.75,0.315082
41,0.315381
41.25,0.315514
41.5,0.315622
41.75,0.315835
42,0.316084
42.25,0.316321
42.5,0.316522
42.75,0.31681
43,0.317022
43.25,0.317341
43.5,0.317466
43.75,0.31762
44,0.317853
44.25,0.317917
44.5,0.318034
44.75,0.318194
45,0.318416
45.25,0.318544
45.5,0.318631
45.75,0.318685
46,0.318641
46.25,0.318728
46.5,0.318798
46.75,0.318982
47,0.319055
47.25,0.319157
47.5,0.31927
47.75,0.319287
48,0.319371
48.25,0.319435
48.5,0.319556
48.75,0.319636
49,0.31973
49.25,0.319775
49.5,0.319905
49.75,0.319936
50,0.319972
50.25,0.320101
50.5,0.320133
50.75,0.32015
51,0.320205
51.25,0.320172
51.5,0.320248
51.75,0.320287
52,0.320276
52.25,0.320307
52.5,0.320418
52.75,0.320421
53,0.320445
53.25,0.320441
53.5,0.320498
53.75,0.320514
54,0.320552
54.25,0.320602
54.5,0.320625
54.75,0.320683
55,0.320708
55.25,0.320721
55.5,0.320737
55.75,0.320813
56,0.320814
56.25,0.32082
56.5,0.320835
56.75,0.320814
57,0.320854
57.25,0.320875
57.5,0.320881
57.75,0.320934
58,0.32096
58.25,0.320934
58.5,0.320956
58.75,0.320965
59,0.320963
59.25,0.32098
59.5,0.32096
59.75,0.320971
60,0.320971
60.25,0.320961
60.5,0.320985
60.75,0.320986
61,0.320979
