Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.500272
1,0.235329
1.25,0.199483
1.5,0.280955
1.75,0.302517
2,0.344576
2.25,0.422851
2.5,0.427245
2.75,0.425954
3,0.449353
3.25,0.44908
3.5,0.44698
3.75,0.471006
4,0.456774
4.25,0.4529
4.5,0.455684
4.75,0.442119
5,0.423581
5.25,0.416584
5.5,0.424444
5.75,0.433098
6,0.4333
6.25,0.444973
6.5,0.439753
6.75,0.435784
7,0.430624
7.25,0.431732
7.5,0.436476
7.75,0.43361
8,0.433038
8.25,0.432805
8.5,0.432484
8.75,0.434981
9,0.43269
9.25,0.434875
9.5,0.441894
9.75,0.432906
10,0.437923
10.25,0.436151
10.5,0.437088
10.75,0.429906
11,0.42572
11.25,0.422557
11.5,0.421312
11.75,0.417393
12,0.417241
12.25,0.413023
12.5,0.411908
12.75,0.408192
13,0.405801
13.25,0.402367
13.5,0.400911
13.75,0.394061
14,0.39148
14.25,0.389711
14.5,0.390241
14.75,0.389762
15,0.388918
15.25,0.392174
15.5,0.392581
15.75,0.393586
16,0.392529
16.25,0.392966
16.5,0.392105
16.75,0.394191
17,0.390742
17.25,0.391221
17.5,0.392847
17.75,0.393112
18,0.394529
18.25,0.395364
18.5,0.39635
18.75,0.397006
19,0.397484
19.25,0.396908
19.5,0.397463
19.75,0.397346
20,0.3972
20.25,0.397277
20.5,0.397789
20.75,0.398143
21,0.397508
21.25,0.39649
21.5,0.39546
21.75,0.395111
22,0.395327
22.25,0.394857
22.5,0.394328
22.75,0.393782
23,0.393021
23.25,0.393691
23.5,0.392544
23.75,0.39268
24,0.3925
24.25,0.392386
24.5,0.392348
24.75,0.391016
25,0.390808
25.25,0.390345
25.5,0.390123
25.75,0.390755
26,0.390599
26.25,0.391012
26.5,0.390014
26.75,0.389243
27,0.388655
27.25,0.388399
27.5,0.387842
27.75,0.38809
28,0.388121
28.25,0.387768
28.5,0.387733
28.75,0.387372
29,0.387644
29.25,0.387068
29.5,0.386399
29.75,0.38619
30,0.385404
30.25,0.385116
30.5,0.384572
30.75,0.384364
31,0.38422
31.25,0.383422
31.5,0.382555
31.75,0.381777
32,0.380742
32.25,0.379949
32.5,0.379318
32.75,0.37837
33,0.377632
33.25,0.376239
33.5,0.375363
33.75,0.374777
34,0.374096
34.25,0.373151
34.5,0.371951
34.75,0.371126
35,0.370249
35.25,0.369364
35.5,0.368522
35.75,0.367665
36,0.366525
36.25,0.36551
36.5,0.364621
36.75,0.363676
37,0.362612
37.25,0.361907
37.5,0.361235
37.75,0.360484
38,0.35965
38.25,0.358789
38.5,0.358008
38.75,0.357063
39,0.356102
39.25,0.355335
39.5,0.354504
39.75,0.3539
40,0.353161
40.25,0.352265
40.5,0.351551
40.75,0.350849
41,0.350191
41.25,0.349566
41.5,0.349016
41.75,0.34842
42,0.347837
42.25,0.347124
42.5,0.346504
42.75,0.346005
43,0.345297
43.25,0.344769
43.5,0.344252
43.75,0.343745
44,0.34323
44.25,0.342786
44.5,0.342425
44.75,0.34198
45,0.341594
45.25,0.341238
45.5,0.340857
45.75,0.34057
46,0.340237
46.25,0.340008
46.5,0.33974
46.75,0.339363
47,0.339074
47.25,0.338773
47.5,0.338487
47.75,0.338247
48,0.338055
48.25,0.337794
48.5,0.33753
48.75,0.337247
49,0.337084
49.25,0.336799
49.5,0.336557
49.75,0.336378
50,0.336212
50.25,0.336042
50.5,0.335931
50.75,0.335785
51,0.335613
51.25,0.335498
51.5,0.335321
51.75,0.335174
52,0.335044
52.25,0.33496
52.5,0.334795
52.75,0.334721
53,0.334598
53.25,0.334511
53.5,0.334423
53.75,0.334347
54,0.33424
54.25,0.334148
54.5,0.334038
54.75,0.333896
55,0.333754
55.25,0.333706
55.5,0.333653
55.75,0.333555
56,0.33348
56.25,0.333414
56.5,0.333351
56.75,0.333299
57,0.333252
57.25,0.333193
57.5,0.333145
57.75,0.333096
58,0.333042
58.25,0.333
58.5,0.332954
58.75,0.332947
59,0.332922
59.25,0.332898
59.5,0.332894
59.75,0.332853
60,0.332831
60.25,0.332815
60.5,0.332791
60.75,0.332759
61,0.332741
