Time,cumulative_mean_fraction_lambda_W
61.25,0.332721
61.5,0.332691
61.75,0.33266
62,0.332643
62.25,0.332606
62.5,0.332578
62.75,0.332573
63,0.332535
63.25,0.332498
63.5,0.332491
63.75,0.332467
64,0.332446
64.25,0.332432
64.5,0.332424
64.75,0.332403
65,0.332396
65.25,0.332376
65.5,0.332365
65.75,0.332355
66,0.332338
66.25,0.332307
66.5,0.332297
66.75,0.332273
67,0.332263
67.25,0.332249
67.5,0.332239
67.75,0.332225
68,0.332225
68.25,0.332214
68.5,0.332204
68.75,0.332204
69,0.332194
69.25,0.33219
69.5,0.332179
69.75,0.332158
70,0.332158
70.25,0.332155
70.5,0.332155
70.75,0.332151
71,0.332144
71.25,0.332134
71.5,0.332141
71.75,0.332137
72,0.332141
72.25,0.332131
72.5,0.332127
72.75,0.332127
73,0.332134
73.25,0.332123
73.5,0.332123
73.75,0.332117
74,0.332113
74.25,0.33211
74.5,0.33211
74.75,0.332106
75,0.332099
75.25,0.332093
75.5,0.332086
75.75,0.332082
76,0.332079
76.25,0.332079
76.5,0.332069
76.75,0.332065
77,0.332058
77.25,0.332058
77.5,0.332052
77.75,0.332052
78,0.332045
78.25,0.332031
78.5,0.332031
78.75,0.332028
79,0.332028
79.25,0.332028
79.5,0.332024
79.75,0.332021
80,0.332021
80.25,0.332021
80.5,0.332017
80.75,0.332017
81,0.332017
81.25,0.332014
81.5,0.33201
81.75,0.33201
82,0.33201
82.25,0.33201
82.5,0.33201
82.75,0.33201
83,0.332007
83.25,0.332007
83.5,0.332
83.75,0.332
84,0.332
84.25,0.332
84.5,0.332
84.75,0.332
85,0.332
85.25,0.331997
85.5,0.331997
85.75,0.331997
86,0.331997
86.25,0.331997
86.5,0.331997
86.75,0.331997
87,0.331997
87.25,0.331993
87.5,0.331993
87.75,0.331993
88,0.331993
88.25,0.331993
88.5,0.331993
88.75,0.331993
89,0.331993
89.25,0.331993
89.5,0.331993
89.75,0.331993
90,0.33199
90.25,0.33199
90.5,0.33199
90.75,0.33199
91,0.33199
91.25,0.33199
91.5,0.33199
91.75,0.33199
92,0.33199
92.25,0.33199
92.5,0.33199
92.75,0.33199
93,0.33199
93.25,0.33199
93.5,0.33199
93.75,0.33199
94,0.33199
94.25,0.33199
94.5,0.33199
94.75,0.33199
95,0.33199
95.25,0.33199
95.5,0.33199
95.75,0.33199
96,0.33199
96.25,0.33199
96.5,0.33199
96.75,0.33199
97,0.33199
97.25,0.33199
97.5,0.33199
97.75,0.33199
98,0.33199
98.25,0.33199
98.5,0.33199
98.75,0.33199
99,0.33199
99.25,0.33199
99.5,0.33199
99.75,0.33199
100,0.33199
100.25,0.33199
100.5,0.33199
100.75,0.33199
101,0.33199
101.25,0.33199
101.5,0.33199
101.75,0.33199
102,0.33199
102.25,0.33199
102.5,0.33199
102.75,0.33199
103,0.33199
103.25,0.33199
103.5,0.33199
103.75,0.33199
104,0.33199
104.25,0.33199
104.5,0.33199
104.75,0.33199
105,0.33199
105.25,0.33199
105.5,0.33199
105.75,0.33199
106,0.33199
106.25,0.33199
106.5,0.33199
106.75,0.33199
107,0.33199
107.25,0.33199
107.5,0.33199
107.75,0.33199
108,0.33199
108.25,0.33199
108.5,0.33199
108.75,0.33199
109,0.33199
109.25,0.33199
109.5,0.33199
109.75,0.33199
110,0.33199
110.25,0.33199
110.5,0.33199
110.75,0.33199
111,0.33199
111.25,0.33199
111.5,0.33199
111.75,0.33199
112,0.33199
112.25,0.33199
112.5,0.33199
112.75,0.33199
113,0.33199
113.25,0.33199
113.5,0.33199
113.75,0.33199
114,0.33199
114.25,0.33199
114.5,0.33199
114.75,0.33199
115,0.33199
115.25,0.33199
115.5,0.33199
115.75,0.33199
116,0.33199
116.25,0.33199
116.5,0.33199
116.75,0.33199
117,0.33199
117.25,0.33199
117.5,0.33199
117.75,0.33199
118,0.33199
118.25,0.33199
118.5,0.33199
118.75,0.33199
119,0.33199
119.25,0.33199
119.5,0.33199
119.75,0.33199
