,wardName,wardNo,area(sq km),totalPopulation
772,Vellangallur,773,26.61,38243
773,Velukara,774,26.67,29207
774,Velur,775,28.32,27633
775,Venkitangu,776,20.47,25118
776,Ambalavayal,777,60.65,35207
777,Edavaka,778,47.26,33665
778,Kaniambetta,779,37.865,33956
779,Kottathara,780,31.75,16670
780,Muppainadu,781,62.92,24590
781,Mutil,782,47.37,35281
782,Nenmeni,783,69.38,46950
783,Noolpuzha,784,242.97,27833
784,Padinharethara,785,55.18,25965
785,Panamaram,786,80.9,45627
786,Poothadi,787,82.88,39649
787,Pozhuthana,788,71.3,18406
788,Pulpally,789,77.78,33951
789,Thariyode,790,71.12,11725
790,Thavinhal,791,142.3,39813
791,Thirunelly,792,201.16,29696
792,Thondernad,793,131.15,23142
793,Vellamunda,794,64.54,40627
794,Vengappally,795,21.16,11756
795,Vythiri,796,47.84,18305
