,wardName,wardNo,area(sq km),totalPopulation
173,Chirakkal,174,13.56,45601
174,Chokli,175,11.98,28415
175,Dharmadom,176,10.68,30804
176,Eramam Kuttoor,177,75.14,27830
177,Eranholi,178,10.08,25818
178,Eruvassey,179,54.06,19216
179,Ezhome,180,21.0,19261
180,Irikkur,181,11.38,13820
181,Kadannapally Panapuzha,182,53.75,21785
182,Kadirur,183,12.3,31087
183,Kalliasseri,184,15.37,31122
184,Kangole Alapadamba,185,42.07,15570
185,Kanichar,186,51.9,19325
186,Kannapuram,187,14.39,18459
187,Keezhallur,188,29.02,20747
188,Kelakom,189,77.92,20440
189,Kolacherry,190,19.45,27943
190,Kolayad,191,33.17,19790
191,Koodali,192,40.27,30239
192,Kottayam,193,8.43,19176
193,Kottiyoor,194,97.58,16768
194,Kunhimangalam,195,15.44,18965
195,Kurumathur,196,50.79,31023
196,Kuttiattur,197,35.15,25925
197,Madayi,198,16.17,35888
198,Malapattom,199,19.34,9628
199,Mangattidam,200,33.3,34652
200,Mattool,201,12.82,27806
201,Mayyil,202,33.08,29649
202,Mokeri,203,10.53,19684
203,Munderi,204,20.42,37029
204,Muzhakkunnu,205,31.04,21807
205,Muzhappilangad,206,7.19,23709
206,Naduvil,207,87.97,31190
207,Narath,208,17.24,26769
208,New Mahi,209,5.8,16303
209,Padiyur kalliad,210,55.4,21524
210,Panniyannur,211,10.02,22308
211,Pappinisseri,212,14.81,35134
212,Pariyaram,213,54.77,32878
213,Pattiam,214,27.88,30502
214,Pattuvam,215,16.85,15659
215,Payam,216,31.21,28196
216,Payyavoor,217,69.34,22998
217,Peralasseri,218,19.4,29107
218,Peringome Vayakkara,219,76.98,29374
219,Pinarayi,220,20.04,33706
220,Ramanthali,221,29.9,25711
221,Thilankeri,222,25.6,14583
222,Triprangottur,223,32.47,29911
223,Valapattanam,224,2.03,7955
224,Ajanoor,225,27.83,49153
225,Badiyadka,226,67.52,34207
226,Balal,227,93.2,23670
227,Bedaduka,228,85.49,27868
228,Belloor,229,26.93,10241
229,Chemnad,230,40.1,54747
230,Chengala,231,53.73,56781
231,Delampady,232,79.5,22773
232,Enmakaje,233,78.23,26824
233,Kallar,234,60.83,19414
234,Karadka,235,40.41,21211
235,Kayyur Cheemeni,236,72.7,23495
236,Kodombellur,237,95.44,33211
237,Kumbadaje,238,31.04,14772
238,Kuttikol,239,66.0,24923
239,Madhur,240,26.04,41463
240,Madikkai,241,51.8,22050
241,Mangalpady,242,36.38,48441
242,Manjewswaram,243,24.4,41515
243,Meenja,244,44.91,23318
244,Mogral Puthur,245,14.23,24839
245,Muliyar,246,45.75,25095
246,Padne,247,13.39,22134
247,Paivalike,248,72.5,34274
