Time,susceptible_lambda_C
98.25,59.9538
98.5,57.3079
98.75,54.3418
99,52.8312
99.25,51.2472
99.5,49.3663
99.75,47.3907
100,45.7604
100.25,44.2111
100.5,42.7842
100.75,40.1744
101,38.9168
101.25,36.4803
101.5,34.9407
101.75,34.0152
102,32.9629
102.25,32.0212
102.5,30.7042
102.75,29.2229
103,27.8943
103.25,26.9913
103.5,26.4421
103.75,25.3733
104,24.2457
104.25,23.6928
104.5,23.2042
104.75,22.1293
105,21.7316
105.25,21.8689
105.5,21.2718
105.75,20.1777
106,19.555
106.25,18.6249
106.5,17.7287
106.75,17.3048
107,17.3381
107.25,16.7029
107.5,16.2696
107.75,15.9583
108,14.893
108.25,14.165
108.5,13.8098
108.75,13.27
109,12.5448
109.25,11.6352
109.5,11.123
109.75,10.6177
110,10.3733
110.25,10.0927
110.5,9.19329
110.75,8.86079
111,8.88391
111.25,8.92477
111.5,7.89511
111.75,7.458
112,7.24888
112.25,7.16954
112.5,6.90237
112.75,6.61081
113,6.42795
113.25,6.34891
113.5,5.97221
113.75,6.38608
114,5.95966
114.25,5.85633
114.5,5.48523
114.75,5.31023
115,5.26306
115.25,5.11995
115.5,5.03798
115.75,5.09902
116,5.06359
116.25,5.04185
116.5,4.64808
116.75,4.36983
117,4.37752
117.25,3.80882
117.5,3.7604
117.75,3.73322
118,3.72489
118.25,3.67963
118.5,3.67277
118.75,3.44133
119,3.30227
119.25,3.2294
119.5,3.08041
119.75,2.96675
