Time,susceptible_lambda_W
97.5,8.80036
97.75,8.53966
98,8.38315
98.25,8.32115
98.5,6.77261
98.75,6.77339
99,6.65372
99.25,6.42443
99.5,6.66434
99.75,6.60426
100,6.51724
100.25,6.41577
100.5,6.29262
100.75,5.97716
101,5.78863
101.25,5.84285
101.5,6.63429
101.75,6.67556
102,5.95319
102.25,5.61774
102.5,5.53759
102.75,5.41258
103,5.54312
103.25,4.12469
103.5,4.04363
103.75,4.01167
104,4.3151
104.25,3.94336
104.5,3.81734
104.75,2.97925
105,2.68617
105.25,6.89586
105.5,6.90679
105.75,2.66013
106,2.66233
106.25,2.55558
106.5,2.37764
106.75,2.09382
107,2.35672
107.25,2.41131
107.5,2.33145
107.75,2.26564
108,2.00789
108.25,2.02282
108.5,1.83552
108.75,1.76873
109,1.57748
109.25,1.61907
109.5,1.56542
109.75,1.48841
110,1.59157
110.25,1.60428
110.5,1.32825
110.75,1.21416
111,1.08765
111.25,1.02986
111.5,0.993678
111.75,0.755448
112,0.679603
112.25,0.592999
112.5,0.615251
112.75,0.615133
113,0.566916
113.25,0.569278
113.5,0.571004
113.75,0.672783
114,0.63814
114.25,0.688521
114.5,0.535644
114.75,0.41338
115,0.484115
115.25,0.486134
115.5,0.511158
115.75,0.547873
116,0.490423
116.25,0.484022
116.5,0.502592
116.75,0.480098
117,0.480238
117.25,0.443198
117.5,0.338034
117.75,0.348872
118,0.354649
118.25,0.351815
118.5,0.348229
118.75,0.33934
119,0.294017
119.25,0.294017
119.5,0.294033
119.75,0.297543
