Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
84,0.0224581
84.25,0.0163678
84.5,0.0329701
84.75,0.019826
85,0.0264775
85.25,0.0242968
85.5,0.0207795
85.75,0.0123998
86,0.0155432
86.25,0.0150786
86.5,0.0165983
86.75,0.0175323
87,0.0157479
87.25,0.0134084
87.5,0.0192567
87.75,0.0133255
88,0.016161
88.25,0.0125728
88.5,0.0088154
88.75,0.0143323
89,0.0089096
89.25,0.014156
89.5,0.0120667
89.75,0.0110981
90,0.0176192
90.25,0.0141575
90.5,0.0083407
90.75,0.0121362
91,0.0119869
91.25,0.00862534
91.5,0.017433
91.75,0.00729074
92,0.00856277
92.25,0.0112659
92.5,0.00803273
92.75,0.00939998
93,0.0114997
93.25,0.0147609
93.5,0.00599221
93.75,0.00609704
94,0.00490224
94.25,0.00604116
94.5,0.00318706
94.75,0.0046824
95,0.0317642
95.25,0.00471215
95.5,0.00869119
95.75,0.00618533
96,0.00508685
96.25,0.00403883
96.5,0.00712698
96.75,0.00396189
97,0.0104743
97.25,0.00400473
97.5,0.00409433
97.75,0.0113227
98,0.00698542
98.25,0.00189426
98.5,0.00433102
98.75,0.00368779
99,0.00775623
99.25,0.00746068
99.5,0.00351413
99.75,0.00386962
100,0.00269117
100.25,0.0093428
100.5,0.00673012
100.75,0.00716185
101,0.00226298
101.25,0.00337484
101.5,0.00468528
101.75,0.00119335
102,0.000967559
102.25,0.0011011
102.5,0.00215283
102.75,0.00184094
103,inf
103.25,0.00297077
103.5,0.00121389
103.75,0.00396138
104,0.000920059
104.25,0.00107525
104.5,0.00231751
104.75,0.00241796
105,0.00380039
105.25,0.00362703
105.5,0.000741501
105.75,0.00270456
106,0.00403408
106.25,0.000926155
106.5,inf
106.75,0.00572417
107,0.00214305
107.25,0.00024085
107.5,inf
107.75,0.0011435
108,0.00210154
108.25,inf
108.5,0.000930676
108.75,0.00153719
109,inf
109.25,0.000682579
109.5,inf
109.75,0.000614732
110,inf
110.25,inf
110.5,0.000962477
110.75,inf
111,inf
111.25,inf
111.5,0.00184829
111.75,inf
112,inf
112.25,0.000517845
112.5,inf
112.75,0.000293676
113,inf
113.25,0.00170353
113.5,inf
113.75,inf
114,0.000223564
114.25,inf
114.5,inf
114.75,inf
115,inf
115.25,5.71948e-05
115.5,0.0001714
115.75,0.000439755
116,inf
116.25,5.14911e-05
116.5,inf
116.75,inf
117,0.0002013
117.25,inf
117.5,-nan
117.75,-nan
118,inf
118.25,-nan
118.5,inf
118.75,inf
119,inf
119.25,0.000476638
119.5,inf
119.75,inf
