Time,mean_fraction_lambda_H
94,0.443518
94.25,0.474063
94.5,0.338285
94.75,0.564455
95,0.327742
95.25,0.41147
95.5,0.335631
95.75,0.4813
96,0.283805
96.25,0.399189
96.5,0.221509
96.75,0.357283
97,0.311461
97.25,0.32347
97.5,0.457008
97.75,0.235699
98,0.444903
98.25,0.493328
98.5,0.398398
98.75,0.513073
99,0.198464
99.25,0.292904
99.5,0.406025
99.75,0.401931
100,0.461488
100.25,0.252697
100.5,0.332346
100.75,0.517718
101,0.543607
101.25,0.276317
101.5,0.285456
101.75,0.495424
102,0.548971
102.25,0.399338
102.5,0.524333
102.75,0.427865
103,0.24949
103.25,0.459831
103.5,0.598923
103.75,0.272586
104,0.544795
104.25,0.443618
104.5,0.499639
104.75,0.374394
105,0.384112
105.25,0.221961
105.5,0.33245
105.75,0.165078
106,0.498189
106.25,0.599466
106.5,0.249073
106.75,0.299623
107,0.498506
107.25,0.41637
107.5,0
107.75,0.399661
108,0.14283
108.25,0
108.5,0.333239
108.75,0.855875
109,0.249558
109.25,0.285703
109.5,0.199969
109.75,0.166648
110,0
110.25,0.333203
110.5,0.666113
110.75,0.249844
111,0
111.25,0.333078
111.5,0.332949
111.75,0
112,0
112.25,0.199989
112.5,0.166148
112.75,0.499971
113,0.427095
113.25,0.249942
113.5,0
113.75,0
114,0.499934
114.25,0
114.5,0.308064
114.75,0
115,0.998036
115.25,0.749974
115.5,0.74862
115.75,0.499802
116,0.499693
116.25,0.49999
116.5,0
116.75,0.499851
117,0.399979
117.25,0.499966
117.5,0
117.75,0
118,0.499881
118.25,0
118.5,0
118.75,0
119,0
119.25,0.666444
119.5,0
119.75,0
