Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
94,0.885972
94.25,1.03167
94.5,1.00248
94.75,1.00783
95,1.27789
95.25,1.04582
95.5,1.02446
95.75,1.04125
96,1.04988
96.25,1.01848
96.5,1.06399
96.75,1.03477
97,1.02467
97.25,1.04666
97.5,1.02715
97.75,1.05068
98,1.07071
98.25,1.01615
98.5,1.02066
98.75,1.09583
99,1.10181
99.25,1.1159
99.5,1.04779
99.75,1.02841
100,1.03576
100.25,1.14322
100.5,1.23955
100.75,1.10886
101,1.03595
101.25,1.01356
101.5,1.25501
101.75,1.06147
102,1.02182
102.25,1.04098
102.5,1.06205
102.75,1.04037
103,inf
103.25,1.11707
103.5,1.01179
103.75,1.32569
104,1.04978
104.25,1.03786
104.5,1.00824
104.75,1.09264
105,1.12336
105.25,1.11009
105.5,1.07308
105.75,0.133578
106,1.7996
106.25,1.1315
106.5,inf
106.75,1.81619
107,1.10739
107.25,1.04714
107.5,-nan
107.75,1.02851
108,1.35384
108.25,-nan
108.5,1.08886
108.75,1.0691
109,inf
109.25,1.15734
109.5,inf
109.75,1.15734
110,-nan
110.25,inf
110.5,1.12329
110.75,inf
111,-nan
111.25,inf
111.5,1.12507
111.75,-nan
112,-nan
112.25,1.31353
112.5,inf
112.75,1.20766
113,inf
113.25,1.01813
113.5,-nan
113.75,-nan
114,1.14046
114.25,-nan
114.5,inf
114.75,-nan
115,inf
115.25,1.00173
115.5,1.22083
115.75,1.28708
116,inf
116.25,1.15748
116.5,-nan
116.75,inf
117,1.07635
117.25,inf
117.5,-nan
117.75,-nan
118,inf
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,1.22113
119.5,-nan
119.75,-nan
