Time,susceptible_lambda
97.5,127.822
97.75,131.848
98,129.305
98.25,115.398
98.5,105.173
98.75,99.2504
99,105.677
99.25,115.665
99.5,104.333
99.75,96.0801
100,86.9671
100.25,82.8102
100.5,77.2632
100.75,70.8571
101,71.3004
101.25,71.7593
101.5,78.6389
101.75,77.9662
102,73.6969
102.25,58.1327
102.5,58.2634
102.75,55.9951
103,57.7933
103.25,51.8405
103.5,48.1153
103.75,52.5776
104,48.0625
104.25,47.1982
104.5,45.6733
104.75,39.434
105,36.8008
105.25,48.9338
105.5,45.2993
105.75,42.2455
106,44.777
106.25,33.8537
106.5,33.4731
106.75,31.7917
107,52.8169
107.25,32.5983
107.5,33.8459
107.75,31.9587
108,28.8301
108.25,30.6867
108.5,29.2895
108.75,24.0495
109,29.9647
109.25,21.3031
109.5,23.0259
109.75,18.9642
110,21.6566
110.25,22.5078
110.5,16.8694
110.75,15.7823
111,16.2331
111.25,16.0403
111.5,13.0377
111.75,12.2364
112,14.3588
112.25,12.0915
112.5,14.4737
112.75,11.8021
113,12.4305
113.25,11.2055
113.5,10.8683
113.75,18.2849
114,10.9386
114.25,13.5317
114.5,9.39769
114.75,9.27754
115,19.3984
115.25,15.4558
115.5,10.5092
115.75,15.7508
116,15.3334
116.25,11.5659
116.5,12.1845
116.75,11.3335
117,7.05524
117.25,6.30035
117.5,6.73622
117.75,7.14044
118,7.24038
118.25,7.15936
118.5,7.08252
118.75,7.76491
119,8.35165
119.25,4.62676
119.5,4.5866
119.75,4.65216
