Time,mean_fraction_lambda_C
93.75,0.453862
94,0.437446
94.25,0.452182
94.5,0.5683
94.75,0.413653
95,0.61893
95.25,0.494179
95.5,0.550376
95.75,0.47162
96,0.519854
96.25,0.494953
96.5,0.725907
96.75,0.595248
97,0.554502
97.25,0.579525
97.5,0.542992
97.75,0.764221
98,0.546076
98.25,0.506672
98.5,0.524387
98.75,0.486927
99,0.752754
99.25,0.59029
99.5,0.591742
99.75,0.582507
100,0.503681
100.25,0.747303
100.5,0.587527
100.75,0.482282
101,0.386143
101.25,0.615172
101.5,0.432377
101.75,0.450736
102,0.352744
102.25,0.600662
102.5,0.475667
102.75,0.49921
103,0.5451
103.25,0.478062
103.5,0.401077
103.75,0.727414
104,0.455205
104.25,0.445838
104.5,0.500361
104.75,0.563685
105,0.615888
105.25,0.559141
105.5,0.66755
105.75,0.555662
106,0.501811
106.25,0.30127
106.5,0.667469
106.75,0.700377
107,0.501494
107.25,0.58363
107.5,0.750369
107.75,0.569921
108,0.57217
108.25,1
108.5,0.337213
108.75,0.144125
109,0.500852
109.25,0.714297
109.5,0.800031
109.75,0.667376
110,1
110.25,0.339883
110.5,0.235028
110.75,0.750156
111,1
111.25,0.666922
111.5,0.667051
111.75,1
112,1
112.25,0.407074
112.5,0.667595
112.75,0.500029
113,0.430206
113.25,0.501435
113.5,1
113.75,1
114,0.500066
114.25,1
114.5,0.691936
114.75,1
115,0.00196362
115.25,0.250026
115.5,0.25138
115.75,0.500031
116,0.500307
116.25,0.50001
116.5,1
116.75,0.250351
117,0.600021
117.25,0.500034
117.5,0
117.75,0
118,0.500119
118.25,0
118.5,1
118.75,1
119,1
119.25,0.333556
119.5,1
119.75,1
