Time,susceptible_lambda_H
98.25,47.1228
98.5,41.0926
98.75,38.1352
99,46.1918
99.25,57.9931
99.5,48.3021
99.75,42.0852
100,34.6895
100.25,32.1833
100.5,28.1863
100.75,24.7056
101,26.595
101.25,29.4362
101.5,37.064
101.75,37.2754
102,34.7808
102.25,20.4938
102.5,22.0217
102.75,21.3596
103,24.3559
103.25,20.7245
103.5,17.6296
103.75,23.1926
104,19.5017
104.25,19.562
104.5,18.6518
104.75,14.3254
105,12.383
105.25,20.169
105.5,17.1207
105.75,19.4077
106,22.5597
106.25,12.6732
106.5,13.3667
106.75,12.3931
107,33.1221
107.25,13.4841
107.5,15.2448
107.75,13.7347
108,11.9292
108.25,14.4989
108.5,13.6442
108.75,9.01078
109,15.8424
109.25,8.04881
109.5,10.3375
109.75,6.85812
110,9.69173
110.25,10.8109
110.5,6.3479
110.75,5.70737
111,6.26152
111.25,6.0857
111.5,4.14895
111.75,4.02295
112,6.43036
112.25,4.32898
112.5,6.95608
112.75,4.57618
113,5.43566
113.25,4.28731
113.5,4.32509
113.75,11.226
114,4.34081
114.25,6.98685
114.5,3.37682
114.75,3.55392
115,13.6513
115.25,9.84968
115.5,4.96008
115.75,10.1039
116,9.77944
116.25,6.04
116.5,7.0338
116.75,6.48354
117,2.19748
117.25,2.04833
117.5,2.63779
117.75,3.05835
118,3.16084
118.25,3.12791
118.5,3.06152
118.75,3.98424
119,4.75537
119.25,1.10335
119.5,1.21216
119.75,1.38787
