Time,cumulative_mean_fraction_lambda_C
93.5,0.335484
93.75,0.335492
94,0.335499
94.25,0.335506
94.5,0.335516
94.75,0.33552
95,0.335531
95.25,0.335537
95.5,0.335547
95.75,0.335553
96,0.335561
96.25,0.335569
96.5,0.335581
96.75,0.335592
97,0.3356
97.25,0.335607
97.5,0.335613
97.75,0.33563
98,0.335635
98.25,0.335639
98.5,0.335644
98.75,0.335647
99,0.335656
99.25,0.335661
99.5,0.335668
99.75,0.335677
100,0.335682
100.25,0.335694
100.5,0.3357
100.75,0.335704
101,0.335705
101.25,0.33571
101.5,0.335711
101.75,0.335713
102,0.335714
102.25,0.335718
102.5,0.335719
102.75,0.335722
103,0.335724
103.25,0.335727
103.5,0.335727
103.75,0.335732
104,0.335733
104.25,0.335734
104.5,0.335735
104.75,0.335739
105,0.335743
105.25,0.335745
105.5,0.335747
105.75,0.33575
106,0.335751
106.25,0.335751
106.5,0.335755
106.75,0.335759
107,0.335759
107.25,0.335762
107.5,0.335764
107.75,0.335765
108,0.335767
108.25,0.335771
108.5,0.335771
108.75,0.33577
109,0.33577
109.25,0.335773
109.5,0.335776
109.75,0.335778
110,0.33578
110.25,0.33578
110.5,0.335779
110.75,0.335781
111,0.335782
111.25,0.335783
111.5,0.335785
111.75,0.335786
112,0.335788
112.25,0.335788
112.5,0.33579
112.75,0.335791
113,0.335791
113.25,0.335792
113.5,0.335794
113.75,0.335795
114,0.335796
114.25,0.335797
114.5,0.335799
114.75,0.335801
115,0.335801
115.25,0.3358
115.5,0.3358
115.75,0.3358
116,0.335801
116.25,0.335801
116.5,0.335802
116.75,0.335801
117,0.335803
117.25,0.335803
117.5,0.335803
117.75,0.335803
118,0.335804
118.25,0.335804
118.5,0.335804
118.75,0.335805
119,0.335806
119.25,0.335806
119.5,0.335807
119.75,0.335808
