Time,mean_fraction_lambda_W
93.75,0.0775615
94,0.119036
94.25,0.0737553
94.5,0.0934147
94.75,0.0218921
95,0.0533281
95.25,0.0943504
95.5,0.113994
95.75,0.0470806
96,0.196341
96.25,0.105859
96.5,0.0525845
96.75,0.0474688
97,0.134038
97.25,0.0970048
97.5,0
97.75,8.00038e-05
98,0.00902097
98.25,0
98.5,0.0772152
98.75,0
99,0.0487821
99.25,0.116806
99.5,0.00223301
99.75,0.0155612
100,0.0348309
100.25,0
100.5,0.0801275
100.75,0
101,0.07025
101.25,0.108511
101.5,0.282167
101.75,0.0538402
102,0.0982852
102.25,0
102.5,0
102.75,0.0729253
103,0.205409
103.25,0.0621074
103.5,0
103.75,0
104,0
104.25,0.110544
104.5,0
104.75,0.0619202
105,0
105.25,0.218898
105.5,0
105.75,0.27926
106,0
106.25,0.099264
106.5,0.0834585
106.75,0
107,0
107.25,0
107.5,0.249631
107.75,0.0304174
108,0.285
108.25,0
108.5,0.329548
108.75,0
109,0.24959
109.25,0
109.5,0
109.75,0.165976
110,0
110.25,0.326914
110.5,0.0988591
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0.392937
112.5,0.166258
112.75,0
113,0.142699
113.25,0.248624
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0.000166648
116,0
116.25,0
116.5,0
116.75,0.249798
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
