Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
87.5,0.0205483
87.75,0.0172316
88,0.0167157
88.25,0.0403332
88.5,0.00537456
88.75,0.0663462
89,0.0117182
89.25,0.0214708
89.5,0.026303
89.75,0.0189117
90,0.0310434
90.25,0.0379982
90.5,0.0119195
90.75,0.0292678
91,0.0113435
91.25,0.00677314
91.5,0.0172616
91.75,0.00498798
92,0.030369
92.25,0.00680894
92.5,0.0158209
92.75,0.0825996
93,0.0143163
93.25,0.0205298
93.5,0.00331402
93.75,0.00325125
94,0.142123
94.25,0.0294111
94.5,0.0025101
94.75,0.000158479
95,0.00664271
95.25,0.00819794
95.5,0.0134032
95.75,0.00181436
96,0.0150597
96.25,0.00826161
96.5,0.0019055
96.75,0.00318767
97,0.0234667
97.25,0.00377332
97.5,0
97.75,0.000193667
98,9.72597e-05
98.25,0
98.5,0.110471
98.75,0
99,0.0193864
99.25,0.0152817
99.5,0.000299264
99.75,0.000117364
100,0.00371541
100.25,0
100.5,0.019991
100.75,0
101,0.00742889
101.25,0.00652855
101.5,0.140758
101.75,0.000388781
102,0.0537169
102.25,0
102.5,0
102.75,0.00360493
103,inf
103.25,0.00706446
103.5,0
103.75,0
104,0
104.25,0.0315867
104.5,0
104.75,0.0222236
105,0
105.25,0.00465184
105.5,0
105.75,1.06752
106,0
106.25,0.00520372
106.5,inf
106.75,0
107,0
107.25,0
107.5,inf
107.75,1.17128e-05
108,0.0371305
108.25,-nan
108.5,0.0115997
108.75,0
109,inf
109.25,0
109.5,-nan
109.75,0.0116305
110,-nan
110.25,inf
110.5,0.000300291
110.75,-nan
111,-nan
111.25,-nan
111.5,0
111.75,-nan
112,-nan
112.25,0.0106226
112.5,inf
112.75,0
113,inf
113.25,0.0136809
113.5,-nan
113.75,-nan
114,0
114.25,-nan
114.5,-nan
114.75,-nan
115,-nan
115.25,0
115.5,0
115.75,0.000429149
116,-nan
116.25,0
116.5,-nan
116.75,inf
117,0
117.25,-nan
117.5,-nan
117.75,-nan
118,-nan
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,0
119.5,-nan
119.75,-nan
